代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
3576,聯合再生,8.2,+0.1,+1.23,-1.79,1.08,0.22,1.87,-1.1,-0.34,-1.02,-2.77,-3,0.29,-7.06,-6.12,-3.48,,,,,,,,,,,,,,,,,,,,,,,,,
3593,力銘,9.85,-0.15,-1.5,-0.04,-0.03,-0.06,-0.03,-0.1,-0.07,-0.06,-0.1,-0.07,0.19,0.26,-0.09,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,
3686,達能,14.1,-0.4,-2.76,0.03,0,0,0.01,-0.02,0.02,0.04,0.06,-0.01,0.06,0.04,0.11,0,,,,,,,,,,,,,,,,,,,,,,,,,
3714,富采,35.15,+0.2,+0.57,-2.89,1.74,0.58,-1.06,-1.43,-0.02,0.01,0.11,-33.9,0.08,-2.05,0.83,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
4108,懷特,13.15,0,0,0.12,0.04,0.05,0.27,0.05,0.07,0.07,0.27,0.07,0.05,0.07,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
4142,國光生,18.55,-0.15,-0.8,-0.02,0.07,0.14,0.53,-0.11,-0.1,0.1,0.3,-0.78,-0.05,-0.17,-0.25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
4190,佐登-KY,34.5,+0.4,+1.17,0.05,0.11,0.2,0.14,-0.07,0.08,0.06,0.06,-0.06,0.02,0.1,-0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
4426,利勤,11.2,-0.2,-1.75,0.11,0.35,0.36,0.64,-0.35,-0.15,0.21,0.34,-0.61,0.38,0.03,-0.16,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
4526,東台,21.5,-1,-4.44,0.32,0.84,-0.24,0.45,-0.55,-0.06,0.21,0.41,1.94,0.43,0.44,0.51,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,
4540,全球傳動,36.6,-0.05,-0.14,0.01,0.56,-0.25,0.26,-0.43,0.02,-0.96,0.81,-0.64,0.42,0.24,0.34,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,
4555,氣立,34.75,+0.35,+1.02,0,0.05,-0.01,0.05,-0.05,-0.04,-0.03,-0.01,0.02,-0.01,0.06,-0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
4562,穎漢,40.9,+0.55,+1.36,0.05,0.14,0.12,0.26,-0.01,-0.03,-0.05,0.12,-0.25,0.12,0.08,-0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
4564,元翎,19.4,+0.65,+3.47,-0.08,0.16,-0.07,0.07,-0.19,-0.07,-0.25,0.12,-0.58,0,0.04,-0.05,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,
4737,華廣,55,+5,+10,-0.08,-0.04,-0.05,-0.12,-0.24,-0.08,0.02,-0.06,-0.06,-0.1,-0.01,-0.09,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,
4764,雙鍵,39,-0.2,-0.51,0.06,0.09,0.16,0.33,-0.04,0.12,0.18,0.06,-0.11,0.03,0,-0.03,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,
4807,日成-KY,17.7,+1.6,+9.94,0.02,0.08,0.17,0.11,-0.13,0,0.13,0.09,-0.14,0.06,0.02,-0.18,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
4927,泰鼎-KY,22.5,-0.65,-2.81,-0.5,0.09,-0.11,-0.11,-0.52,-0.54,-0.26,-0.5,-0.71,-0.54,-0.33,-0.54,-1.93,,,,,,,,,,,,,,,,,,,,,,,,,
4934,太極,9.9,0,0,0.35,-0.03,-0.04,-0.03,2.19,0.21,0.28,0.41,0.06,0.37,0.4,0.09,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
4943,康控-KY,12,0,0,0.4,0.7,0,0.26,0.12,1.45,0,-0.07,0.32,1.32,0.3,0.22,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
4949,有成精密,38.5,-0.8,-2.04,0.01,,0.23,0.17,-0.15,-0.04,0.03,0.04,0.02,0.06,-0.04,-0.22,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
4956,光鋐,21.35,+0.75,+3.64,0.04,0.11,0.02,0.13,-0.13,-0.02,0.05,0.18,-0.18,0.18,0.06,-0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
4960,誠美材,12.25,-0.15,-1.21,0.55,0.52,0.89,3.72,-0.67,-0.09,-0.73,1.29,-1.6,1.3,1.07,-0.94,1.88,,,,,,,,,,,,,,,,,,,,,,,,,
4976,佳凌,25.8,+0.3,+1.18,0.16,0.26,0.21,0.53,-0.29,-0.02,0.26,0.34,-0.31,0.42,0.26,-0.17,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
4989,榮科,14.6,-0.05,-0.34,0.21,0.52,0.37,0.67,-0.23,0,0.15,0.42,-0.42,0.5,0.21,-0.12,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
5484,慧友,37.55,0,0,0.05,-0.2,-0.25,0.14,0.01,0.19,0.11,0.02,0.08,0.29,0.4,-0.09,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,
5531,鄉林,9.71,-0.11,-1.12,-1.32,-0.95,-3.84,-3.79,-0.58,0.62,-3.3,-0.79,2.09,-1.84,-3.54,1.01,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,
5546,永固-KY,28,+0.15,+0.54,-0.14,0.03,0.07,-0.18,-0.22,-0.09,-0.16,-0.06,-0.28,-0.26,-0.24,-0.05,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,
5608,四維航,16.3,-0.1,-0.61,-0.98,-1,-1.3,-1.38,-0.29,-0.88,-1.45,-1.6,0.67,-1.81,-0.12,0.12,-2.65,,,,,,,,,,,,,,,,,,,,,,,,,
5907,大洋-KY,8.64,-0.34,-3.79,-2.16,-1.39,-1.45,-0.37,-3.22,-1.15,-1.86,-1.37,-11.8,-1.53,-0.32,-0.27,-1.15,,,,,,,,,,,,,,,,,,,,,,,,,
6112,邁達特,43.5,-0.55,-1.25,0.35,0.1,-0.04,0.31,0.68,0.79,0.63,-0.31,1.12,1.03,0.4,-0.35,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,
6116,彩晶,6.98,0,0,-0.08,-6.56,-1.02,2.21,-1.66,-0.02,3.72,0.09,-2.25,-0.55,7.22,-1.5,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,
6141,柏承,9.4,-0.05,-0.53,-0.23,-0.11,-0.29,0,-0.29,-0.15,0.03,0.03,-0.08,0.02,-0.5,-0.34,-1.14,,,,,,,,,,,,,,,,,,,,,,,,,
6142,友勁,8.62,+0.04,+0.47,0.43,0.15,0.95,0.84,-0.09,-0.06,0.28,0.66,0.83,0.26,1.21,-0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
6152,百一,9.01,-0.06,-0.66,0.28,0.51,0.42,0.59,-0.36,0.01,0.26,0.52,0.06,0.54,0.3,-0.04,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
6153,嘉聯益,11.4,+0.25,+2.24,-1.03,0.14,1.86,1.83,-0.69,-0.25,0.56,-9.49,-0.99,0.89,0.49,-7.45,0.79,,,,,,,,,,,,,,,,,,,,,,,,,
6168,宏齊,15.9,0,0,0.26,0.74,0.59,0.8,-0.23,0.1,0.38,0.49,-0.29,0.15,0.14,0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
6202,盛群,38.75,+0.2,+0.52,0.15,1.32,0.37,-0.1,0,0.02,-0.39,0.25,-0.08,0.14,0.24,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
6209,今國光,23.5,-0.45,-1.88,0.23,0.1,0.54,0.74,0.09,-0.04,0.63,0.16,-0.11,0.26,0.21,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
6225,天瀚,12.35,-0.55,-4.26,0.01,0,0,-0.01,0,0,0,0,0.08,0.01,0,-0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
6226,光鼎,7.28,+0.05,+0.69,0.05,0.11,0.21,0.23,-0.18,-0.1,0.08,-0.22,0.12,0.2,0.08,-0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
6269,台郡,49.8,-0.6,-1.19,1.74,2.37,2.3,5.15,-2,1.05,2.56,2.54,0.76,1.85,1.83,0.92,1.54,,,,,,,,,,,,,,,,,,,,,,,,,
6282,康舒,26.05,-0.2,-0.76,0.23,0.48,0.56,3.71,-2.8,-0.17,-0.27,0.24,-1.83,0.79,1.41,-1.14,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
6405,悅城,21.6,-0.55,-2.48,0.17,0.34,0.39,0.84,-0.54,0.06,0.17,0.29,-0.18,0.29,0.2,-0.06,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
6426,統新,59.1,0,0,0.07,0.1,0.1,0.27,-0.09,-0.01,0.09,0.12,-0.1,0.16,0.08,-0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
6431,光麗-KY,18.75,+0.45,+2.46,-0.04,0.03,0.01,0.02,-0.02,-0.01,0.05,-0.02,-0.11,-0.04,-0.03,-0.01,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,
6443,元晶,14.15,0,0,-0.03,-0.4,-0.08,-0.13,-0.11,0.42,0.15,0.13,-0.2,-0.05,0.12,-0.06,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,
6477,安集,27.9,-0.2,-0.71,-0.4,-0.11,-0.16,-0.03,-0.45,-0.14,-0.01,-0.11,-1.4,-0.16,-0.2,-0.27,-1.78,,,,,,,,,,,,,,,,,,,,,,,,,
6541,泰福-KY,63.5,+0.7,+1.11,-0.08,0,-0.09,-0.13,-0.13,-0.09,-0.04,0.02,-0.25,0.04,-0.03,-0.24,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
6550,北極星藥業-KY,40.25,+3.65,+9.97,0.39,-0.1,-0.15,-0.06,0.43,0.78,1.27,0.57,1.01,0.79,0.15,-0.01,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
6573,虹揚-KY,11.25,-0.3,-2.6,0.06,-0.02,0.21,-0.28,-0.12,-0.05,0.07,-0.1,-0.27,-0.04,-0.1,1.43,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
6598,ABC-KY,18.85,-0.15,-0.79,0.04,0,0.01,0.03,0.04,0.05,0.06,0.06,0.07,0.06,0.06,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
6645,金萬林-創,21.85,+0.35,+1.63,0,,0.01,-0.01,0,0.01,0,-0.01,0.01,-0.01,-0.01,-0.01,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,
6657,華安,59.5,0,0,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.04,-0.06,0.12,0.05,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
6668,中揚光,33.95,+0.25,+0.74,-0.06,0.13,0.17,0.17,-1.38,0,0.09,-0.07,0.03,0.07,0.03,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
6674,鋐寶科技,16.95,+0.1,+0.59,0.03,0.05,0.01,0.32,-0.05,0.03,0.08,0.07,-0.06,0.04,0.02,-0.01,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,
6695,芯鼎,41.6,-0.05,-0.12,0.15,0.1,0.15,0.36,-0.05,-0.01,0.2,0.3,-0.14,0.29,0.14,-0.02,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
6698,旭暉應材,27.2,+0.45,+1.68,0.1,0.03,-0.03,0.39,-0.13,-0.06,-0.08,0.99,-0.06,0.07,0.01,0.04,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
6706,惠特,66.5,-0.2,-0.3,0.57,0.97,1.26,2.47,-0.56,-0.05,0.84,1.36,-1.55,0.87,0.39,-0.18,0.95,,,,,,,,,,,,,,,,,,,,,,,,,
6770,力積電,14.1,0,0,2.37,-0.34,0.12,10.7,-4.02,-0.94,6.03,9.93,-4.31,6.34,2.71,-1.84,4.13,,,,,,,,,,,,,,,,,,,,,,,,,
6794,向榮生技-創,64.8,+1.5,+2.37,0.02,,0,,0.01,0.06,0.02,0.01,0.03,0.02,0.05,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
6838,台新藥,24.3,+0.15,+0.62,-0.04,,-0.09,-0.16,0,0.05,0.02,-0.43,0.19,-0.14,0.04,0.06,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
6885,全福生技,23.3,-0.2,-0.85,-0.05,,-0.26,,-0.56,-0.08,0.04,0.18,-0.08,0.17,0.06,-0.06,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
6901,鑽石投資,22.65,+0.6,+2.72,0.03,0,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.06,0,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
6902,GOGOLOOK-創,98,-1.5,-1.51,0.02,0.08,0.06,0.11,-0.07,-0.04,0.02,0.08,-0.16,0.09,0.03,-0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
6919,康霈*,616,+4,+0.65,0.19,,0.08,,0.33,0.02,0.11,0.18,-0.06,0.22,0.18,0.16,0.72,,,,,,,,,,,,,,,,,,,,,,,,,
6928,攸泰科技,44.3,-1.1,-2.42,0.07,,0.2,-0.05,0.07,-0.01,0.08,0.13,-0.14,0.19,0.1,0.08,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
6949,沛爾生醫-創,125.5,+0.5,+0.4,0.04,,,,0.05,0.01,0.03,0.02,0.04,0.03,0.09,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
6969,成信實業*-創,26.75,-0.75,-2.73,0.03,,,,0.22,,,0,-0.02,,,-0.04,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,
8101,華冠,16.1,0,0,0.1,-0.19,1.33,-0.12,0.2,-0.05,0.04,-0.17,0.01,-0.07,0.1,0.19,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,
8110,華東,11.8,-0.05,-0.42,0.07,0.43,-0.93,2.03,-1.37,0.57,0.2,1.39,-1.11,0.98,0.58,-0.62,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
8201,無敵,11.85,+0.1,+0.85,0.05,0.06,0.06,0.09,-0.01,0.02,0.06,0.09,-0.01,0.08,0.06,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
8411,福貞-KY,12.35,+0.55,+4.66,-0.39,-0.52,-1.23,-1.53,-0.18,-0.08,-0.09,-0.26,-0.39,-0.1,0.73,-2.01,0.91,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
8429,金麗-KY,8.56,0,0,0.06,0.1,-0.04,-0.05,0.2,0.1,-0.03,-0.01,0.23,0.03,0.09,0.14,0,,,,,,,,,,,,,,,,,,,,,,,,,
8443,阿瘦,11.6,+0.05,+0.43,0.03,-0.02,-0.06,-0.02,0.05,0.03,0.03,0.02,0.05,0.04,0.06,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
8488,吉源-KY,11.85,+0.3,+2.6,0.01,0.15,0.18,-0.41,-0.01,-0.2,-0.23,-0.12,-0.08,0.11,0.1,-0.18,0.78,,,,,,,,,,,,,,,,,,,,,,,,,
9912,偉聯,11.7,+0.05,+0.43,0,-0.02,0.05,0.05,-0.02,-0.02,-0.01,-0.01,-0.03,-0.01,0,-0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
9914,美利達,131.5,-1,-0.75,-2.78,10.1,5.19,2.76,-7.43,-1.23,1.44,2.12,-8.7,0.78,-1.16,-2.32,-35,,,,,,,,,,,,,,,,,,,,,,,,,
9919,康那香,15.55,-0.45,-2.81,1.37,0.19,0.11,0.22,-0.25,-0.03,-1.12,17.9,-0.13,-0.31,0.02,-0.14,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
9928,中視,15.6,0,0,0.16,0.17,0.15,0.12,0.15,0.11,0.12,0.15,0.58,0.11,0.1,0.13,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
9929,秋雨,13.75,+0.4,+3,-0.22,-1.34,0.1,0.14,-0.14,0.04,0.25,0.1,-1.73,-0.04,0.1,-0.15,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
9955,佳龍,29.15,+2.65,+10,-0.03,0.03,0,0.04,-0.05,-0.03,-0.01,0.02,-0.07,0.02,0.01,-0.09,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,
1235,興泰,100.5,0,0,0.41,,,,,,,,,,,,,0.53,1.06,1.87,0.18,0.12,0.23,1.04,-0.4,-0.33,-0.15,0.87,-0.05,2019Q4,,,,,,,,,,,,
1236,宏亞,20.75,-0.05,-0.24,0.03,,,,,,,,,,,,,0.01,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.04,0.06,0.03,0.04,2019Q4,,,,,,,,,,,,
1301,台塑,35.5,-0.3,-0.84,72.3,,,,,,,,,,,,,52.7,61.2,124,91.7,70.5,119,144,-16.2,40.7,49.6,119,10.6,2019Q4,,,,,,,,,,,,
1304,台聚,10.1,-0.05,-0.49,0.94,,,,,,,,,,,,,-2.63,1.44,1.79,0.51,0.89,2.92,1.12,0.97,1.46,3.41,-0.08,-0.49,2019Q4,,,,,,,,,,,,
1305,華夏,11.25,0,0,0.11,,,,,,,,,,,,,-0.69,0.15,0.04,0.15,0.26,0.11,0.38,0.07,0.42,0.34,0.06,-0.01,2019Q4,,,,,,,,,,,,
1308,亞聚,13,-0.2,-1.52,0.51,,,,,,,,,,,,,-0.01,0.99,0.78,0.08,0.59,0.89,1.13,-0.16,0.43,0.64,0.55,0.25,2019Q4,,,,,,,,,,,,
1309,台達化,11.4,-0.1,-0.87,0.08,,,,,,,,,,,,,-0.65,0.35,-0.06,0.38,0.29,0.3,-0.17,0.11,0.4,0.18,-0.04,-0.12,2019Q4,,,,,,,,,,,,
1310,台苯,8.92,-0.04,-0.45,-0.05,,,,,,,,,,,,,0.36,0.37,0.07,-1.16,0.59,-0.39,-0.15,0.07,0.54,-0.57,-0.7,0.38,2019Q4,,,,,,,,,,,,
1312,國喬,10.7,+0.1,+0.94,3.66,,,,,,,,,,,,,2.95,1.76,6.84,5.44,4.23,5.5,3.13,0.32,3.36,4.55,2.89,2.9,2019Q4,,,,,,,,,,,,
1313,聯成,8.15,-0.04,-0.49,0.82,,,,,,,,,,,,,-0.28,1.63,7.51,0.53,1.03,-2.31,0.29,-0.3,0.51,-1.08,2.74,-0.42,2019Q4,,,,,,,,,,,,
1316,上曜,15.15,-0.7,-4.42,0.17,,,,,,,,,,,,,0,0.04,0.17,0,0.07,0.04,1.21,0.15,0.15,0.01,0.33,-0.14,2019Q4,,,,,,,,,,,,
1325,恆大,23.7,-0.3,-1.25,0.02,,,,,,,,,,,,,-0.21,0.05,0.05,-0.02,-0.05,0.2,0.05,0.04,0.04,0.06,0.04,-0.04,2019Q4,,,,,,,,,,,,
1337,再生-KY,5.6,+0.06,+1.08,0.01,,,,,,,,,,,,,0.37,0.02,0.03,0.06,0.05,0.05,-0.25,-0.43,0.07,0.07,0.06,0.01,2019Q4,,,,,,,,,,,,
1338,廣華-KY,23.95,-0.05,-0.21,0.02,,,,,,,,,,,,,0.14,0.11,0.1,0.2,0.22,-0.07,-0.1,-0.24,0.22,-0.14,-0.04,-0.21,2019Q4,,,,,,,,,,,,
1340,勝悅-KY,7.31,-0.02,-0.27,0.01,,,,,,,,,,,,,0.06,0.06,0.05,0.09,0.1,0.22,0.19,-0.05,0.15,0.16,0.09,-1.04,2019Q4,,,,,,,,,,,,
1413,宏洲,11.6,+0.15,+1.31,0.01,,,,,,,,,,,,,-0.03,-0.01,0,-0.03,-0.02,0.05,0.03,0.02,0.08,0.02,0,0,2019Q4,,,,,,,,,,,,
1417,嘉裕,7.81,+0.05,+0.64,0.7,,,,,,,,,,,,,-0.15,0.3,0.37,-0.03,0.52,0.75,0.46,-0.02,0.24,0.52,0.53,4.95,2019Q4,,,,,,,,,,,,
1432,大魯閣,16.25,+0.1,+0.62,-0.36,,,,,,,,,,,,,-0.52,-0.39,-0.4,1.3,0.02,0.02,0.07,0.01,-0.26,-0.11,-0.13,-3.89,2019Q4,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),,,,,,,,,,,,,17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),2019Q4,,,,,,,,,,,,
1435,中福,31.5,0,0,0.03,,,,,,,,,,,,,0,0.05,0.06,-0.07,-0.04,0.12,-0.05,-0.07,0.17,0.05,0.03,0.13,2019Q4,,,,,,,,,,,,
1438,三地開發,41.8,+2.3,+5.82,0,,,,,,,,,,,,,0.01,0,0.01,0.01,0.01,0.01,0.01,-0.06,0.03,0.01,-0.07,0.01,2019Q4,,,,,,,,,,,,
1440,南紡,11.7,-0.15,-1.27,1.53,,,,,,,,,,,,,0.1,1.29,2.18,0.76,0.2,2.96,1.67,1.34,1.43,1.88,2.69,1.79,2019Q4,,,,,,,,,,,,
1445,大宇,14.2,0,0,0.04,,,,,,,,,,,,,-0.07,0.01,0.23,0.15,-0.02,0.05,0.05,0.04,0.01,0.01,0.04,-0.02,2019Q4,,,,,,,,,,,,
1460,宏遠,6.8,-0.07,-1.02,-0.1,,,,,,,,,,,,,-0.59,0.13,-0.01,-0.04,-0.37,0.71,0.19,-0.14,0.03,0.06,-0.32,-0.86,2019Q4,,,,,,,,,,,,
1512,瑞利,6.23,0,0,-0.41,,,,,,,,,,,,,-0.22,0.01,-1.07,-0.2,0,-0.24,-0.22,-0.22,0.07,-0.02,-0.08,-2.74,2019Q4,,,,,,,,,,,,
1516,川飛,14.15,-0.35,-2.41,0.01,,,,,,,,,,,,,-0.01,0.08,0,0,0,0,0.02,-0.03,0,-0.01,0,0,2019Q4,,,,,,,,,,,,
1517,利奇,11.05,0,0,0.36,,,,,,,,,,,,,-0.16,0.47,0.29,0.09,0.03,2.08,0.31,0.17,0.26,0.39,0.32,0.12,2019Q4,,,,,,,,,,,,
1526,日馳,18.6,-0.05,-0.27,-0.01,,,,,,,,,,,,,-0.63,0.21,0.07,-0.14,-0.06,0.21,0.07,0.17,-0.02,0.07,-0.04,-0.08,2019Q4,,,,,,,,,,,,
1528,恩德,12.15,-0.05,-0.41,0,,,,,,,,,,,,,-0.18,0.24,0.11,-0.05,0.06,0.1,-0.31,-0.06,0.5,-0.05,-0.32,0,2019Q4,,,,,,,,,,,,
1529,樂事綠能,21.95,+0.1,+0.46,0.03,,,,,,,,,,,,,0.14,0.01,0,0.01,0.02,0.1,-0.05,0.03,0.02,-0.01,-0.02,0.07,2019Q4,,,,,,,,,,,,
1533,車王電,29.6,-0.25,-0.84,-0.02,,,,,,,,,,,,,-0.61,-0.1,-0.1,-0.36,0.33,0.55,0.19,-0.21,-0.04,0.18,0.05,-0.14,2019Q4,,,,,,,,,,,,
1538,正峰,26,-0.55,-2.07,-0.11,,,,,,,,,,,,,0.26,-0.93,-0.13,-0.07,-0.15,0.01,0.2,-0.11,-0.18,0.07,0.14,-0.43,2019Q4,,,,,,,,,,,,
1587,吉茂,26.95,-0.35,-1.28,0,,,,,,,,,,,,,-0.1,0.01,0.01,0,0.02,-0.02,-0.05,0.25,-0.01,-0.02,-0.04,-0.1,2019Q4,,,,,,,,,,,,
1589,永冠-KY,27.85,-0.1,-0.36,0.06,,,,,,,,,,,,,-0.16,0.65,0.01,-0.04,0.27,-0.09,0.17,-0.22,-0.64,-0.12,-0.03,0.88,2019Q4,,,,,,,,,,,,
1626,艾美特-KY,11.85,-0.05,-0.42,0.08,,,,,,,,,,,,,0.17,-0.24,0.08,0.52,-0.53,0.67,-0.03,-0.07,0.06,0.18,0.34,-0.25,2019Q4,,,,,,,,,,,,
