代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
5302,太欣,櫃,04/17,,7.32,-0.18,-2.4,82,0.6,7.5,7.1,7.53,7.1,5.73,,0.92,-8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5345,天揚,櫃,04/17,,23.4,-0.25,-1.06,6,0.14,23.65,23.7,23.7,23.1,2.54,,3.9,+290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5348,正能量智能,櫃,04/17,,21.55,-1.15,-5.07,19,0.41,22.7,22.8,22.8,20.75,9.03,,2.31,+131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5351,鈺創,櫃,04/17,,23.5,+0.05,+0.21,480,11.2,23.45,23.5,23.7,23,2.99,,1.84,+83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355,佳總,櫃,04/17,,8.39,-0.09,-1.06,18,0.15,8.48,8.21,8.39,8.21,2.12,,1.48,+48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5364,力麗店,櫃,04/17,,21.5,-1.25,-5.49,37,0.81,22.75,23,23,21.5,6.59,,1.78,+78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5468,凱鈺,櫃,04/17,,17.2,0,0,5,0.09,17.2,17,17.2,16.9,1.74,,2.18,+118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5475,德宏,櫃,04/17,,10.9,+0.05,+0.46,79,0.85,10.85,10.85,10.95,10.7,2.3,,1.53,+52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5481,新華,櫃,04/17,,28.25,-0.05,-0.18,679,19.4,28.3,29,29.3,28.15,4.06,,1.52,+52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5487,通泰,櫃,04/17,,30,-0.05,-0.17,1,0.03,30.05,30,30,30,0,,1.36,+36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5516,雙喜,櫃,04/17,,17.5,0,0,0,0,17.5,17.5,17.5,17.5,0,,2.08,+108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5529,鉅陞,櫃,04/17,,30.4,-0.6,-1.94,81,2.46,31,30.6,30.6,30.2,1.29,,2.42,+142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,桓鼎-KY,櫃,04/17,,18.45,-0.45,-2.38,15,0.26,18.9,17.05,18.45,17.05,7.41,,1.88,+88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5701,劍湖山,櫃,04/17,,5.48,-0.15,-2.66,18,0.1,5.63,5.25,5.53,5.25,4.97,,1.32,+32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5905,南仁湖,櫃,04/17,,12.1,0,0,364,4.39,12.1,12.15,12.15,11.9,2.07,,1.16,+16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
6109,亞元,櫃,04/17,,9.2,+0.1,+1.1,37,0.33,9.1,9,9.2,8.86,3.74,,0.97,-3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113,亞矽,櫃,04/17,,20.55,-1.15,-5.3,1053,21.8,21.7,21.5,21.95,20.1,8.53,,1.86,+86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6124,業強,櫃,04/17,,23.3,-0.45,-1.89,55,1.26,23.75,23.1,23.45,22.45,4.21,,1.29,+29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6125,廣運,櫃,04/17,,59.9,0,0,1654,98.4,59.9,59.3,60.5,58.2,3.84,,3.41,+241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6127,九豪,櫃,04/17,,17,-0.05,-0.29,313,5.28,17.05,17.15,17.25,16.6,3.81,,1.62,+62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6129,普誠,櫃,04/17,,11.95,-0.15,-1.24,263,3.13,12.1,11.9,12.05,11.8,2.07,,1.16,+15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6130,上亞科技,櫃,04/17,,37.1,+1.7,+4.8,444,16.6,35.4,35.85,38.55,35.8,7.77,,2.63,+163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6144,得利影,櫃,04/17,,23.2,+0.2,+0.87,24,0.54,23,23.2,23.25,22,5.43,,2.83,+183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6150,撼訊,櫃,04/17,,57.9,+0.8,+1.4,110,6.19,57.1,56.7,57.9,55.3,4.55,,1.93,+93.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6160,欣技,櫃,04/17,,17.35,-0.15,-0.86,452,7.82,17.5,17.6,17.75,16.95,4.57,,1.63,+63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6169,昱泉,櫃,04/17,,18.9,0,0,38,0.7,18.9,18.4,18.95,18.2,3.97,,1.51,+51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6179,亞通,櫃,04/17,,23,-0.2,-0.86,201,4.63,23.2,23.15,23.2,22.7,2.16,460,1.12,+12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6198,瑞築,櫃,04/17,,34.25,+0.6,+1.78,4,0.14,33.65,33.65,34.9,33.65,3.71,,1.22,+22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210,慶生,櫃,04/17,,18.15,+0.05,+0.28,9,0.16,18.1,18.05,18.55,18.05,2.76,,1.35,+35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6217,中探針,櫃,04/17,,26.15,+0.45,+1.75,254,6.56,25.7,25.3,26.2,25.2,3.89,,1,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,豪勉,櫃,04/17,,18.55,+0.3,+1.64,72,1.3,18.25,17.95,18.55,17.75,4.38,,1.33,+32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6222,立軒,櫃,04/17,,23.7,0,0,0,0,23.7,23.7,23.7,23.7,0,,3.54,+254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6228,全譜,櫃,04/17,,49.95,-5.55,-10,4279,237,55.5,61,61,49.95,19.9,,4.73,+373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
6236,中湛,櫃,04/17,,28.9,0,0,0,0,28.95,28.9,28.9,28.9,0,,7.81,+681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6237,驊訊,櫃,04/17,,33.75,-0.65,-1.89,401,13.5,34.4,34.1,34.4,33.2,3.49,,1.64,+63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6241,易通展,櫃,04/17,,12.25,-0.05,-0.41,47,0.57,12.3,12.05,12.3,11.75,4.47,,1.64,+64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6246,臺龍,櫃,04/17,,12.8,0,0,27,0.34,12.8,12.8,13.05,12.75,2.34,,1.25,+24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6276,安鈦克,櫃,04/17,,37.35,-1.15,-2.99,61,2.26,38.5,37.2,38.05,36.3,4.55,,3.95,+295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6287,元隆,櫃,04/17,,8.9,-0.1,-1.11,35,0.31,9,9,9,8.9,1.11,,14.35,+1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6441,廣錠,櫃,04/17,,23.7,-0.2,-0.84,39,0.93,23.9,23.6,23.9,23.55,1.46,,0.98,-2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6461,益得,櫃,04/17,,18.1,-0.8,-4.23,100,1.82,18.9,18.7,18.7,18.1,3.17,,3.07,+207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6462,神盾,櫃,04/17,,98.7,+1.5,+1.54,970,94.7,97.2,97.4,99.4,95.7,3.81,,1.38,+37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6465,威潤,櫃,04/17,,14.05,-0.05,-0.35,19,0.27,14.1,14.1,14.1,13.9,1.42,,1.61,+61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6485,點序,櫃,04/17,,50.9,-1.1,-2.12,176,8.98,52,51.4,51.9,50.6,2.5,,1.25,+25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6492,生華科,櫃,04/17,,32.85,+0.1,+0.31,65,2.13,32.75,32.25,33.1,32,3.36,,2.85,+185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6496,科懋,櫃,04/17,,26.45,+0.25,+0.95,9,0.24,26.2,26.2,26.45,26.2,0.95,,1.25,+24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,益安,櫃,04/17,,47.3,+1.1,+2.38,272,12.8,46.2,45.8,48.5,45.25,7.03,,2.87,+187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6512,啟發電,櫃,04/17,,20.35,-0.35,-1.69,14,0.29,20.7,20.65,20.65,20.35,1.45,,1.38,+37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6535,順藥,櫃,04/17,,157.5,-0.5,-0.32,142,22.3,158,155,159.5,155,2.85,,13.91,+1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6547,高端疫苗,櫃,04/17,,51,+2.75,+5.7,7694,384,48.25,48.95,52.2,47.3,10.2,,4.36,+336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6560,欣普羅,櫃,04/17,,31.35,-2.25,-6.7,282,9.01,33.6,33.6,33.6,31,7.74,,1.82,+81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
6576,逸達,櫃,04/17,,64.5,+0.4,+0.62,108,6.85,64.1,63.4,64.5,62.9,2.5,,6.24,+524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6588,東典光電,櫃,04/17,,27.5,-0.15,-0.54,156,4.17,27.65,26.8,27.7,26,6.15,,1.15,+14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6589,台康生技,櫃,04/17,,63.2,+1.1,+1.77,205,12.9,62.1,61.2,63.7,61.2,4.03,,2.09,+109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6616,特昇-KY,櫃,04/17,,10.05,+0.05,+0.5,22,0.22,10,9.99,10.05,9.95,1,,0.81,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6617,共信-KY,櫃,04/17,,82.6,+4.8,+6.17,351,29.2,77.8,80.1,85.5,80.1,6.94,,3.35,+235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,台生材,櫃,04/17,,37,+0.5,+1.37,93,3.48,36.5,36.95,37.9,36.6,3.56,,2.48,+148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6654,天正國際,櫃,04/17,,68,-0.4,-0.58,48,3.28,68.4,67.7,68.4,67.3,1.61,,2.86,+186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6684,安格,櫃,04/17,,41.75,+0.1,+0.24,86,3.59,41.65,41.1,42.35,40.85,3.6,,1.16,+15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6708,天擎,櫃,04/17,,40.35,0,0,0,0.01,40.35,40.35,40.35,40.35,0,,3,+200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6733,博晟生醫,櫃,04/17,,26.6,+0.05,+0.19,47,1.25,26.55,25.85,26.65,25.85,3.01,,4.04,+304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6767,台微醫,櫃,04/17,,29.5,0,0,0,0,29.5,29.5,29.5,29.5,0,,1.95,+95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6804,明係,櫃,04/17,,22.55,+0.05,+0.22,2,0.05,22.5,22.05,22.55,22.05,2.22,,0.65,-35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6823,濾能,櫃,04/17,,41.05,-0.85,-2.03,6,0.25,41.9,41,41.05,40.55,1.19,,1.95,+94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6872,浩宇生醫,櫃,04/17,,24.8,+0.2,+0.81,53,1.31,24.6,24.6,24.8,24.25,2.24,,3.21,+221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6875,國邑*,櫃,04/17,,47.5,+0.7,+1.5,23,1.06,46.8,45.3,47.5,45.2,4.91,,3.16,+216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6929,佑全,櫃,04/17,,32.8,-0.2,-0.61,19,0.61,33,32,32.95,31.1,5.61,,1.32,+32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8024,佑華,櫃,04/17,,13.85,+1.25,+9.92,583,8.04,12.6,13,13.85,13,6.75,,1.16,+15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8027,鈦昇,櫃,04/17,,77.1,0,0,924,70.8,77.1,75.8,78.3,75.4,3.76,,2.89,+189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
8038,長園科,櫃,04/17,,20.5,+0.55,+2.76,81,1.64,19.95,20,20.5,20,2.51,,3.16,+216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8040,九暘,櫃,04/17,,51.5,-1.7,-3.2,154,7.95,53.2,53.1,53.2,50.9,4.32,,1.98,+98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8044,網家,櫃,04/17,,35.75,+0.3,+0.85,235,8.32,35.45,35.3,35.75,34.85,2.54,,0.87,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047,星雲,櫃,04/17,,13.05,-0.25,-1.88,44,0.57,13.3,13.3,13.3,12.7,4.51,,1.25,+24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8054,安國,櫃,04/17,,73.5,-0.1,-0.14,838,61.2,73.6,73,74.6,71.5,4.21,,3.12,+212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8059,凱碩,櫃,04/17,,22.15,-0.2,-0.89,62,1.38,22.35,22.85,22.85,22,3.8,,2.7,+170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8067,志旭,櫃,04/17,,14.05,+0.05,+0.36,3,0.05,14,14,14.05,14,0.36,,1.83,+82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8071,能率網通,櫃,04/17,,17.8,-0.1,-0.56,543,9.63,17.9,17.7,17.95,17.5,2.51,,1.38,+38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8080,泰霖,櫃,04/17,,28.8,+0.05,+0.17,17,0.5,28.75,29.2,29.2,28.75,1.57,,3.85,+285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8085,福華,櫃,04/17,,20.75,-0.3,-1.43,488,10.1,21.05,21.05,21.1,20.35,3.56,,1.68,+67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8092,建暐,櫃,04/17,,15.1,-0.05,-0.33,125,1.9,15.15,15.05,15.3,15,1.98,,1.56,+55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8093,保銳,櫃,04/17,,14.9,-0.85,-5.4,57,0.85,15.75,15.25,15.25,14.8,2.86,,2.86,+186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8171,天宇,櫃,04/17,,38.6,+0.45,+1.18,766,29.4,38.15,37.85,39.4,37.5,4.98,,1.86,+86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8277,商丞,櫃,04/17,,9.3,-0.03,-0.32,125,1.16,9.33,9.33,9.34,9.22,1.29,,1.76,+76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8291,尚茂,櫃,04/17,,4.57,-0.43,-8.6,11,0.05,5,4.98,4.98,4.57,8.2,,2.75,+175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8421,旭源,櫃,04/17,,12,+0.05,+0.42,12,0.15,11.95,11.95,12.05,11.95,0.84,600,0.84,-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8444,綠河-KY,櫃,04/17,,18.05,-0.05,-0.28,16,0.29,18.1,18,18.45,18,2.49,,1.8,+80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8450,霹靂,櫃,04/17,,17.6,+0.1,+0.57,34,0.61,17.5,17.9,17.9,17.5,2.29,,1.29,+29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,,,,,,,,,,,,,,,,,,,,,,,,,,
8455,大拓-KY,櫃,04/17,,21.9,-0.7,-3.1,6,0.13,22.6,20.8,21.95,20.8,5.09,,1.11,+11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8472,夠麻吉,櫃,04/17,,24.5,-0.85,-3.35,8,0.2,25.35,24.2,25,24.2,3.16,,1.52,+52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8477,創業家,櫃,04/17,,12.3,-0.4,-3.15,37,0.45,12.7,12.65,12.65,12,5.12,,1.96,+96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8489,三貝德,櫃,04/17,,30.9,+0.4,+1.31,37,1.14,30.5,30.6,30.9,30.45,1.48,,2.7,+170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8906,花王,櫃,04/17,,24.65,+0.15,+0.61,24,0.6,24.5,24.55,25.1,24.55,2.24,,2.21,+121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8921,沈氏,櫃,04/17,,21.1,-1.4,-6.22,107,2.34,22.5,21.4,23.5,20.9,11.6,,1.01,+1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8933,愛地雅,櫃,04/17,,6.98,-0.12,-1.69,72,0.5,7.1,7,7.09,6.81,3.94,,1.04,+4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8935,邦泰,櫃,04/17,,14.3,0,0,84,1.18,14.3,14.15,14.3,13.85,3.15,,1.68,+67.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9949,琉園,櫃,04/17,,19.55,+1.1,+5.96,3,0.06,18.45,19.7,19.7,19.55,0.81,,2.66,+166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,濱川,,,,55.8,-2.8,-4.78,,,,,,,,,,,,,,,,-0.22,-0.04,-0.21,-0.12,-0.31,-0.33,-0.14,-0.4,-0.21,-0.12,-0.16,-0.16,-0.47,2019Q4,,,,,,,,,,,,
1591,駿吉-KY,,,,41.3,-0.25,-0.6,,,,,,,,,,,,,,,,0.02,0.05,-0.03,-0.03,0.02,0.01,-0.01,0,-0.02,0.09,0,0.21,-0.03,2019Q4,,,,,,,,,,,,
1595,川寶,,,,33,-0.35,-1.05,,,,,,,,,,,,,,,,0.16,-0.29,0.05,0,1.83,-0.22,0.56,0.1,0.09,0.06,0.09,-0.05,-0.33,2019Q4,,,,,,,,,,,,
1796,金穎生技,,,,47,0,0,,,,,,,,,,,,,,,,0,-0.02,0.01,0.01,0.01,-0.01,0.04,0.01,0.01,-0.02,-0.02,-0.03,-0.03,2019Q4,,,,,,,,,,,,
1799,易威,,,,58.6,-0.4,-0.68,,,,,,,,,,,,,,,,-0.04,-0.05,0.06,-0.01,-0.02,0.01,0.01,0.11,0,-0.04,-0.03,-0.03,-0.41,2019Q4,,,,,,,,,,,,
1813,寶利徠,,,,14.4,+0.05,+0.35,,,,,,,,,,,,,,,,0.11,-0.03,0.15,0.08,-0.04,0.03,0.41,0.14,0.16,0.15,0.16,0.14,0.02,2019Q4,,,,,,,,,,,,
2035,唐榮,,,,31.7,+1.3,+4.28,,,,,,,,,,,,,,,,0.9,0.03,0.42,0.19,0.03,-0.05,0.02,0.34,-0.81,3,0.39,7.62,-0.39,2019Q4,,,,,,,,,,,,
2061,風青,,,,18.2,+0.15,+0.83,,,,,,,,,,,,,,,,0,0.05,-0.03,0.02,0.14,0.01,0,-0.13,-0.02,0.02,0.01,-0.06,-0.01,2019Q4,,,,,,,,,,,,
2064,晉椿,,,,13.45,0,0,,,,,,,,,,,,,,,,-0.05,-0.62,0.07,-0.06,-0.16,-0.28,0.48,-0.08,0.02,0.08,0.07,0,-0.17,2019Q4,,,,,,,,,,,,
2067,嘉鋼,,,,8.99,-0.46,-4.87,,,,,,,,,,,,,,,,-0.02,-0.03,-0.04,-0.03,-0.02,-0.02,0.13,0.01,0,0.03,0.06,-0.26,-0.14,2019Q4,,,,,,,,,,,,
2736,富野,,,,16.15,+0.15,+0.94,,,,,,,,,,,,,,,,-0.01,-0.02,0.03,-0.02,-0.1,0,0.01,-0.02,-0.02,-0.06,-0.05,0.09,0.01,2019Q4,,,,,,,,,,,,
2740,天蔥,,,,27.8,+0.9,+3.35,,,,,,,,,,,,,,,,-0.02,-0.11,0.01,0,-0.1,0.07,-0.02,-0.04,-0.09,-0.03,0.01,0,0.01,2019Q4,,,,,,,,,,,,
2924,宏太-KY,,,,29.95,+0.15,+0.5,,,,,,,,,,,,,,,,-0.04,-0.12,0,-0.22,0,0,-0.06,-0.05,-0.03,0,0.03,-0.02,0.02,2019Q4,,,,,,,,,,,,
3067,全域,,,,19.45,+0.1,+0.52,,,,,,,,,,,,,,,,0.01,0.04,-0.01,-0.03,-0.02,-0.04,0.05,0.04,-0.04,-0.01,0.04,0.1,0,2019Q4,,,,,,,,,,,,
3081,聯亞,,,,248.5,+5.5,+2.26,,,,,,,,,,,,,,,,0.03,-0.16,0.09,0.03,0.03,-0.07,0.29,0.09,0.07,0.06,0.05,0.02,-0.08,2019Q4,,,,,,,,,,,,
3085,新零售,,,,17.6,-1.3,-6.88,,,,,,,,,,,,,,,,-0.19,-0.01,0.02,0.01,-0.55,0.02,0.02,0,-0.91,0,-0.05,-0.01,-0.8,2019Q4,,,,,,,,,,,,
3115,富榮綱,,,,12.3,-0.65,-5.02,,,,,,,,,,,,,,,,-0.01,0.04,-0.05,0,-0.01,-0.02,0.1,-0.04,-0.07,-0.01,0.02,0.01,-0.06,2019Q4,,,,,,,,,,,,
