代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,折溢 價％,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
3122,笙泉,,,,22.1,-0.4,-1.78,,,,,,,,,,,,,,,,0.02,0.01,0.04,0.02,0.01,0.05,0,0.05,0.02,0.01,0,0,0,2019Q4,,,,,,,,,,,,
代號,名稱,,,,成交,漲跌 價,漲跌 幅,,,,,,,,,,,,,,,,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),2019Q4,,,,,,,,,,,,
3176,基亞,,,,29.85,-0.35,-1.16,,,,,,,,,,,,,,,,-0.11,0.21,0.03,0.05,-0.88,-0.02,0.07,0,-0.27,-0.04,1.2,-0.19,-1.52,2019Q4,,,,,,,,,,,,
3191,雲嘉南,,,,15,0,0,,,,,,,,,,,,,,,,0.18,-0.08,0,0,-0.07,0,0.04,0.01,-0.02,-0.03,0,2.45,-0.14,2019Q4,,,,,,,,,,,,
3205,佰研,,,,23.85,+0.25,+1.06,,,,,,,,,,,,,,,,-0.02,-0.32,0.06,0.01,-0.17,-0.08,0.26,0.04,0.01,0.03,0.04,0.01,-0.14,2019Q4,,,,,,,,,,,,
3207,耀勝,,,,84.1,-0.3,-0.36,,,,,,,,,,,,,,,,-0.02,-0.1,-0.03,-0.01,-0.04,-0.11,0.12,0.13,-0.12,-0.04,0.07,0.04,-0.09,2019Q4,,,,,,,,,,,,
3224,三顧,,,,39.15,0,0,,,,,,,,,,,,,,,,0.01,-0.08,0.01,-0.01,0.04,0.01,0.04,0.08,0.03,0.01,-0.01,-0.01,-0.03,2019Q4,,,,,,,,,,,,
3228,金麗科,,,,155,+3,+1.97,,,,,,,,,,,,,,,,0,-0.03,0,0,-0.01,-0.01,0.05,0.01,0,0,0.01,0,-0.02,2019Q4,,,,,,,,,,,,
3234,光環,,,,33.2,-0.4,-1.19,,,,,,,,,,,,,,,,-0.1,-0.44,-0.12,-0.12,-0.35,-0.16,0.17,0,0.02,-0.02,-0.02,-0.01,-0.11,2019Q4,,,,,,,,,,,,
3252,海灣,,,,19.8,+0.15,+0.76,,,,,,,,,,,,,,,,-0.12,-0.19,-0.2,-0.09,-0.24,-0.02,-0.15,-0.15,-0.04,-0.02,-0.1,-0.15,-0.06,2019Q4,,,,,,,,,,,,
3259,鑫創,,,,20.8,+0.3,+1.46,,,,,,,,,,,,,,,,0,-0.04,0.01,0,-0.01,-0.02,0.04,0.01,0,0,0.01,0,-0.02,2019Q4,,,,,,,,,,,,
3272,東碩,,,,21.15,-0.35,-1.63,,,,,,,,,,,,,,,,0.06,-0.2,0.03,-0.01,0.01,-0.1,0.42,0.33,0.14,-0.15,0.27,0.13,-0.16,2019Q4,,,,,,,,,,,,
3276,宇環,,,,11.3,-0.1,-0.88,,,,,,,,,,,,,,,,0.08,-0.04,-0.01,0.03,0.01,-0.01,0.13,0.19,-0.11,0.11,0.15,0.15,0.37,2019Q4,,,,,,,,,,,,
3288,點晶,,,,19.6,+0.4,+2.08,,,,,,,,,,,,,,,,0.02,-0.05,0.02,0.07,0.03,0.07,-0.03,-0.01,0.04,0.06,-0.03,0.01,0.05,2019Q4,,,,,,,,,,,,
3297,杭特,,,,31.7,-0.5,-1.55,,,,,,,,,,,,,,,,0.05,-0.05,0.05,0.02,0.01,0.01,0.19,0.06,0.03,0.1,0.07,0.06,0.04,2019Q4,,,,,,,,,,,,
3322,建舜電,,,,12.45,-0.15,-1.19,,,,,,,,,,,,,,,,0.31,-0.3,-0.11,-0.05,-0.16,-0.21,0.35,4.11,0.07,-0.03,0.19,0.15,-0.3,2019Q4,,,,,,,,,,,,
3323,加百裕,,,,27.85,-0.1,-0.36,,,,,,,,,,,,,,,,0.06,-0.17,0.17,0.14,0.07,0.06,0.31,-0.01,0.11,0.15,0.13,-0.02,-0.24,2019Q4,,,,,,,,,,,,
3325,旭品,,,,14.75,+0.25,+1.72,,,,,,,,,,,,,,,,-0.01,-0.19,-0.01,-0.01,-0.07,-0.08,0.17,0.11,-0.01,-0.07,0.13,0.12,-0.16,2019Q4,,,,,,,,,,,,
3349,寶德,,,,18.25,0,0,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,0.04,2019Q4,,,,,,,,,,,,
3354,律勝,,,,16.25,-0.3,-1.81,,,,,,,,,,,,,,,,0.03,-0.25,0.05,0.01,-0.04,-0.15,0.46,0.08,0.09,0.12,0.12,0.02,-0.18,2019Q4,,,,,,,,,,,,
代號,名稱,,,,成交,漲跌 價,漲跌 幅,,,,,,,,,,,,,,,,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),2019Q4,,,,,,,,,,,,
3360,尚立,,,,12.65,0,0,,,,,,,,,,,,,,,,-0.26,-0.26,-0.11,-0.14,-0.15,-0.11,-0.16,-0.27,-0.36,-0.37,-0.41,-0.43,-0.39,2019Q4,,,,,,,,,,,,
3363,上詮,,,,169,-1,-0.59,,,,,,,,,,,,,,,,0.06,0.17,-0.09,-0.08,-0.16,0.02,0.32,0.17,0.08,0.75,0.09,-0.34,-0.25,2019Q4,,,,,,,,,,,,
3372,典範,,,,12.1,+0.1,+0.83,,,,,,,,,,,,,,,,0.01,-0.49,0.05,0,0.06,-0.11,0.31,0.05,0.1,0.06,0.1,0.04,-0.07,2019Q4,,,,,,,,,,,,
3373,熱映,,,,19.9,-0.2,-1,,,,,,,,,,,,,,,,0,-0.17,0.04,0.02,-0.03,-0.03,0.11,-0.01,0.02,0.04,0.03,0.03,-0.04,2019Q4,,,,,,,,,,,,
3466,德晉,,,,40.65,+2.25,+5.86,,,,,,,,,,,,,,,,0.02,-0.22,0.04,0.03,-0.11,-0.1,0.37,0.05,0.11,-0.01,0.21,0.07,-0.21,2019Q4,,,,,,,,,,,,
3489,森寶,,,,23.25,+0.75,+3.33,,,,,,,,,,,,,,,,-0.03,-0.26,-0.02,-0.01,-0.01,-0.01,0.01,0.01,0,0,0,0.01,0,2019Q4,,,,,,,,,,,,
3498,陽程,,,,35.15,+0.45,+1.3,,,,,,,,,,,,,,,,0.04,-0.37,0.15,-0.01,-0.08,-0.13,0.43,0.29,0.47,-0.04,-0.01,0.05,-0.3,2019Q4,,,,,,,,,,,,
3508,位速,,,,21.05,+0.05,+0.24,,,,,,,,,,,,,,,,0.11,-0.5,0.16,0.06,0.35,-0.12,0.21,0.88,0.49,0.46,-0.48,0.04,-0.22,2019Q4,,,,,,,,,,,,
3511,矽瑪,,,,21.2,-0.25,-1.17,,,,,,,,,,,,,,,,-0.07,-0.16,0.01,-0.03,-0.54,-0.03,0.08,-0.05,0.06,-0.01,0.01,-0.03,-0.17,2019Q4,,,,,,,,,,,,
3521,鴻翊,,,,11.95,-0.05,-0.42,,,,,,,,,,,,,,,,-0.01,-0.03,-0.01,-0.01,-0.02,-0.02,0.03,-0.01,-0.01,-0.01,0.03,-0.02,-0.03,2019Q4,,,,,,,,,,,,
3522,御嵿,,,,16.1,-0.6,-3.59,,,,,,,,,,,,,,,,0.1,-0.07,-0.05,0.15,0.06,0.05,0.25,0.17,0.97,0.07,0.05,0.06,-0.56,2019Q4,,,,,,,,,,,,
3523,迎輝,,,,20.1,+0.15,+0.75,,,,,,,,,,,,,,,,0.31,-0.32,-0.2,4.58,-0.2,0.08,0.01,-0.11,-0.03,0.01,0,-0.04,-0.05,2019Q4,,,,,,,,,,,,
3540,曜越,,,,26.45,-0.25,-0.94,,,,,,,,,,,,,,,,-0.01,-0.19,0.11,0.04,-0.02,-0.04,0.17,-0.01,0,0.01,0.14,-0.14,-0.16,2019Q4,,,,,,,,,,,,
3541,西柏,,,,26.85,+0.1,+0.37,,,,,,,,,,,,,,,,-0.01,-0.27,0.09,0.03,-0.08,-0.11,0.25,0.03,0.02,0.05,0.06,-0.02,-0.19,2019Q4,,,,,,,,,,,,
3555,博士旺,,,,28.3,+1.8,+6.79,,,,,,,,,,,,,,,,0.14,0.07,0.24,0.18,0.65,0.05,-0.08,0.32,0,0.04,-0.18,0.1,0.29,2019Q4,,,,,,,,,,,,
3609,三一東林,,,,43.5,-0.5,-1.14,,,,,,,,,,,,,,,,0.01,-0.03,0,0.03,-0.01,0.02,0.03,0.07,0.03,0.04,0.05,-0.01,-0.05,2019Q4,,,,,,,,,,,,
3623,富晶通,,,,16.5,-0.15,-0.9,,,,,,,,,,,,,,,,0.01,-0.13,0.03,0.01,-0.04,0,0.1,-0.01,0.05,0.06,0.04,0,-0.05,2019Q4,,,,,,,,,,,,
3625,西勝,,,,13.45,-0.05,-0.37,,,,,,,,,,,,,,,,-0.01,-0.11,-0.02,0,-0.04,-0.01,0.06,-0.01,0.03,-0.02,0.09,0.09,-0.16,2019Q4,,,,,,,,,,,,
代號,名稱,,,,成交,漲跌 價,漲跌 幅,,,,,,,,,,,,,,,,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),2019Q4,,,,,,,,,,,,
3629,地心引力,,,,18,0,0,,,,,,,,,,,,,,,,-0.02,-0.04,-0.25,-0.02,0,0.02,0.01,0,0,0,0,0,0.01,2019Q4,,,,,,,,,,,,
3630,新鉅科,,,,19.2,-0.4,-2.04,,,,,,,,,,,,,,,,0.25,0.64,0.21,0.08,0.01,-0.02,0.76,0.27,0.2,0.2,0.54,0.11,0.04,2019Q4,,,,,,,,,,,,
3631,晟楠,,,,27.95,-0.95,-3.29,,,,,,,,,,,,,,,,0.04,-0.15,0.09,0.1,0.03,0.04,0.2,-0.04,0.13,0.09,0.04,-0.05,0.04,2019Q4,,,,,,,,,,,,
3632,研勤,,,,11.95,0,0,,,,,,,,,,,,,,,,-0.02,-0.08,0.01,0.08,0.1,0.04,0,-0.04,-0.05,-0.06,-0.05,-0.02,-0.17,2019Q4,,,,,,,,,,,,
3666,光耀,,,,31,+0.2,+0.65,,,,,,,,,,,,,,,,-0.01,-0.29,0.1,0.09,0.06,0.04,0.06,-0.1,0.02,0.09,-0.06,-0.08,-0.06,2019Q4,,,,,,,,,,,,
3672,康聯訊,,,,17.5,+0.1,+0.57,,,,,,,,,,,,,,,,-0.02,-0.07,0.04,0.01,-0.02,-0.06,0.01,-0.03,0,-0.03,-0.01,0.01,-0.06,2019Q4,,,,,,,,,,,,
3685,元創精密,,,,11.5,-0.25,-2.13,,,,,,,,,,,,,,,,0.08,-0.15,0,-0.01,0.53,0.07,0.1,0.03,0.15,-0.03,0.11,0.04,0.07,2019Q4,,,,,,,,,,,,
3691,碩禾,,,,58.2,+1,+1.75,,,,,,,,,,,,,,,,-1.28,-1.93,1.81,-0.64,-0.77,0.76,-0.41,-3.92,-8.86,1.71,-2.1,0.27,-1.23,2019Q4,,,,,,,,,,,,
3707,漢磊,,,,32.6,-0.85,-2.54,,,,,,,,,,,,,,,,-0.03,-0.54,-0.01,0.07,0,-0.05,0.22,0.03,0.14,-0.03,0.02,-0.06,-0.13,2019Q4,,,,,,,,,,,,
3710,連展投控,,,,8.83,+0.02,+0.23,,,,,,,,,,,,,,,,0.13,0,0,0,0.03,-0.36,0.14,0.89,0.31,-0.59,0.43,0.51,0.21,2019Q4,,,,,,,,,,,,
3713,新晶投控,,,,18,-0.05,-0.28,,,,,,,,,,,,,,,,0.02,,,,,,,,-0.05,0.15,0,0,0,2019Q4,,,,,,,,,,,,
4120,友華,,,,44.2,+0.1,+0.23,,,,,,,,,,,,,,,,0.12,0.22,0.17,0.28,0.3,0.54,-0.58,-0.18,0.36,0.25,-0.2,-0.31,0.54,2019Q4,,,,,,,,,,,,
4121,優盛,,,,15.05,+1.35,+9.85,,,,,,,,,,,,,,,,0.11,0.11,0.36,0.1,0.07,0.1,0.11,0,0.08,0.1,0.03,-0.02,0.29,2019Q4,,,,,,,,,,,,
4123,晟德,,,,35.05,+0.45,+1.3,,,,,,,,,,,,,,,,7.68,-0.4,-0.36,1.07,5.04,5.21,2.94,19.9,56.9,-3.76,5.19,1.74,-1.27,2019Q4,,,,,,,,,,,,
4128,中天,,,,24.15,+1.5,+6.62,,,,,,,,,,,,,,,,0.04,8.02,-0.65,2.91,-2.91,-1.07,-0.56,-2.02,-2.31,-0.02,-0.84,1.07,-1.14,2019Q4,,,,,,,,,,,,
4131,浩泰,,,,32.25,-0.25,-0.77,,,,,,,,,,,,,,,,0.01,0,-0.01,0.01,0,0,0.01,0.01,-0.02,0.02,0.02,0.06,-0.02,2019Q4,,,,,,,,,,,,
4139,馬光-KY,,,,28.5,-0.3,-1.04,,,,,,,,,,,,,,,,0.1,0.03,0.06,0.02,0.04,0.04,0.02,0.3,0.13,-0.06,0.05,0,0.56,2019Q4,,,,,,,,,,,,
4147,中裕,,,,79.4,+0.5,+0.63,,,,,,,,,,,,,,,,-0.14,-0.11,0.2,0.01,0.1,0.4,1.98,-2.06,-0.33,-0.25,-0.09,-0.74,-0.81,2019Q4,,,,,,,,,,,,
代號,名稱,,,,成交,漲跌 價,漲跌 幅,,,,,,,,,,,,,,,,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),2019Q4,,,,,,,,,,,,
4154,樂威科-KY,,,,18.25,+0.15,+0.83,,,,,,,,,,,,,,,,0.01,0.03,0.02,0.05,-0.03,0.09,0.03,-0.02,-0.01,-0.01,0,-0.03,-0.03,2019Q4,,,,,,,,,,,,
4157,太景*-KY,,,,9.64,+0.21,+2.23,,,,,,,,,,,,,,,,0.32,-0.05,5.24,0.26,-0.58,0.21,-0.37,-0.58,-0.12,0.05,1.39,-0.37,-1.2,2019Q4,,,,,,,,,,,,
4168,醣聯,,,,16.7,-0.25,-1.47,,,,,,,,,,,,,,,,0.04,0.02,0.04,0.05,0.05,0.06,0.04,0.04,-0.11,0.08,0.05,0.05,0.06,2019Q4,,,,,,,,,,,,
4171,瑞基,,,,18.4,0,0,,,,,,,,,,,,,,,,-0.01,-0.09,0.01,-0.01,-0.15,-0.06,0.13,0.02,0.07,0.01,0,-0.03,-0.03,2019Q4,,,,,,,,,,,,
4174,浩鼎,,,,47.6,+0.1,+0.21,,,,,,,,,,,,,,,,-0.13,-1.96,0.35,0.1,-0.37,-0.51,1.64,0.17,0.42,0.38,0.42,0.07,-2.31,2019Q4,,,,,,,,,,,,
4188,安克,,,,13.4,0,0,,,,,,,,,,,,,,,,0.04,0.01,0.01,0.01,0.01,0.32,0.03,0.02,0.01,0.01,0.01,0.03,0.03,2019Q4,,,,,,,,,,,,
4192,杏國,,,,28.3,+0.4,+1.43,,,,,,,,,,,,,,,,0.01,-0.03,0.04,0.02,0,0,0.01,0.01,0.05,0.01,0.02,0.02,0.04,2019Q4,,,,,,,,,,,,
4198,欣大健康,,,,31.4,+0.45,+1.45,,,,,,,,,,,,,,,,-0.03,-0.08,0,0.02,0.02,-0.05,0.15,-0.03,-0.07,0,-0.01,-0.02,-0.25,2019Q4,,,,,,,,,,,,
4304,勝昱,,,,8.6,+0.11,+1.3,,,,,,,,,,,,,,,,-0.05,-0.02,-0.02,-0.01,-0.15,-0.01,0.01,-0.05,-0.03,-0.02,-0.06,-0.09,-0.11,2019Q4,,,,,,,,,,,,
4402,郡都開發,,,,20.4,-0.4,-1.92,,,,,,,,,,,,,,,,0.29,-0.06,-0.01,-0.03,0.57,-0.05,-0.45,-0.29,0.05,3.99,-0.04,-0.18,-0.07,2019Q4,,,,,,,,,,,,
4406,新昕纖,,,,9.05,0,0,,,,,,,,,,,,,,,,0.02,-0.05,0.04,0.03,-0.01,-0.03,0.09,0.03,-0.03,0.04,0.14,0,-0.01,2019Q4,,,,,,,,,,,,
4419,皇家美食,,,,48,+0.5,+1.05,,,,,,,,,,,,,,,,0.07,-0.01,1.04,-0.2,-0.01,0.01,0,0,0,0,0,0,0,2019Q4,,,,,,,,,,,,
4430,耀億,,,,18.45,+0.25,+1.37,,,,,,,,,,,,,,,,0.47,-0.28,0.03,-0.01,-0.03,0.01,0.21,0.11,-0.05,0.01,0.06,5.66,-0.07,2019Q4,,,,,,,,,,,,
4503,金雨,,,,43.9,+0.75,+1.74,,,,,,,,,,,,,,,,0,-0.06,0.01,0.01,-0.01,-0.03,0.07,0.01,0.01,0.01,0.01,0,-0.01,2019Q4,,,,,,,,,,,,
4513,福裕,,,,23.1,-0.65,-2.74,,,,,,,,,,,,,,,,0,-0.18,-0.02,0.09,0.12,-0.09,0.12,0.03,-0.04,-0.04,-0.02,-0.05,0.06,2019Q4,,,,,,,,,,,,
4523,永彰,,,,29.25,-0.25,-0.85,,,,,,,,,,,,,,,,0.03,-0.19,0.19,0.13,-0.06,0.1,0.31,0.02,0.13,0.01,0.03,-0.12,-0.12,2019Q4,,,,,,,,,,,,
4529,淳紳,,,,4.81,-0.04,-0.82,,,,,,,,,,,,,,,,-0.79,-0.69,-0.77,-0.81,-1.62,-0.62,-0.29,-0.41,-0.25,-0.36,-0.22,-0.7,-2.73,2019Q4,,,,,,,,,,,,
4530,宏易,,,,11.85,+0.15,+1.28,,,,,,,,,,,,,,,,0.01,-0.13,0.03,0.01,0.02,0.13,0.04,0,0.05,0,0.01,0,-0.02,2019Q4,,,,,,,,,,,,
代號,名稱,,,,成交,漲跌 價,漲跌 幅,,,,,,,,,,,,,,,,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),2019Q4,,,,,,,,,,,,
4577,達航科技,,,,18,-0.7,-3.74,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,0.07,2019Q4,,,,,,,,,,,,
4609,唐鋒,,,,7.51,-0.32,-4.09,,,,,,,,,,,,,,,,0.09,-0.02,0.12,0.13,0.13,0.1,0.11,0.04,0.12,0.14,0.16,0.09,-0.02,2019Q4,,,,,,,,,,,,
4726,永昕,,,,32.2,+0.2,+0.62,,,,,,,,,,,,,,,,-0.04,-0.04,0.08,0.03,-0.91,-0.07,0.23,0.04,0.16,0.04,0.02,-0.01,-0.05,2019Q4,,,,,,,,,,,,
4743,合一,,,,61.5,+1.1,+1.82,,,,,,,,,,,,,,,,-0.12,-0.07,-0.05,0.02,-0.07,-0.3,0.07,-0.8,-0.1,0.07,-0.15,0.31,-0.38,2019Q4,,,,,,,,,,,,
4804,大略-KY,,,,3.58,+0.2,+5.92,,,,,,,,,,,,,,,,-0.17,0.04,0.1,0.07,-0.28,0.07,-0.11,-0.82,-0.93,-0.02,0.04,-0.1,-0.1,2019Q4,,,,,,,,,,,,
4806,桂田文創,,,,9.15,-0.23,-2.45,,,,,,,,,,,,,,,,-0.25,-0.1,0,-0.04,-1.28,-0.01,-0.11,-0.08,-0.8,-0.02,-0.05,-0.05,-0.51,2019Q4,,,,,,,,,,,,
4923,力士,,,,30.7,+0.7,+2.33,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,2019Q4,,,,,,,,,,,,
4946,辣椒,,,,118,-3,-2.48,,,,,,,,,,,,,,,,0.08,0.02,0.56,0.19,0.17,-0.06,0.41,0.01,-0.04,0.1,-0.09,-0.1,-0.23,2019Q4,,,,,,,,,,,,
4950,金耘國際,,,,18.25,+0.2,+1.11,,,,,,,,,,,,,,,,-0.14,-0.18,-0.18,0.23,0.09,-0.09,0.41,0.28,-0.06,-0.65,-0.11,0.19,-1.6,2019Q4,,,,,,,,,,,,
4971,IET-KY,,,,116.5,+2.5,+2.19,,,,,,,,,,,,,,,,0,0.02,0.01,0,0,-0.03,0,0,0.01,-0.01,0.01,-0.01,0,2019Q4,,,,,,,,,,,,
4991,環宇-KY,,,,98,-2,-2,,,,,,,,,,,,,,,,0,0.29,-0.56,0.24,-0.23,-0.02,0.03,0,0.03,0.04,0.05,0.06,0.04,2019Q4,,,,,,,,,,,,
5011,久陽,,,,14.15,-0.55,-3.74,,,,,,,,,,,,,,,,0.01,-0.06,-0.01,0,-0.01,-0.04,0.04,0.02,0,-0.04,0.04,0.09,0.03,2019Q4,,,,,,,,,,,,
5205,中茂,,,,36.4,-0.75,-2.02,,,,,,,,,,,,,,,,0.02,0.02,0,0,0,0.16,0,0,0.06,0.01,-0.01,0,0.01,2019Q4,,,,,,,,,,,,
5210,寶碩,,,,28.25,+2.55,+9.92,,,,,,,,,,,,,,,,0.04,0.01,0.02,-0.12,0.06,0.03,0.02,0.02,0.14,0.12,0.06,0.05,0.04,2019Q4,,,,,,,,,,,,
5211,蒙恬,,,,22.8,-0.6,-2.56,,,,,,,,,,,,,,,,0.01,-0.03,0.01,0.01,0,-0.01,0.08,0.04,0.02,0.02,-0.02,0,-0.03,2019Q4,,,,,,,,,,,,
5223,安力-KY,,,,24,+0.7,+3,,,,,,,,,,,,,,,,0.01,0.1,-0.08,-0.06,-0.05,-0.15,0.16,0.22,0.03,-0.09,0,0.03,0.05,2019Q4,,,,,,,,,,,,
5227,立凱-KY,,,,30.25,-0.5,-1.63,,,,,,,,,,,,,,,,-0.58,-0.36,0.1,0.68,-0.62,-0.5,-1.72,-1.71,-0.95,0.02,-1.32,-0.34,-0.25,2019Q4,,,,,,,,,,,,
5228,鈺鎧,,,,15.2,-0.1,-0.65,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,-0.04,2019Q4,,,,,,,,,,,,
代號,名稱,,,,成交,漲跌 價,漲跌 幅,,,,,,,,,,,,,,,,平均 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),2019Q4,,,,,,,,,,,,
5245,智晶,,,,22.15,+0.25,+1.14,,,,,,,,,,,,,,,,0.02,-0.02,-0.01,-0.02,0.01,-0.01,0.09,0,0.02,0.06,0.01,0.06,0.01,2019Q4,,,,,,,,,,,,
5272,笙科,,,,19.75,-0.05,-0.25,,,,,,,,,,,,,,,,0.02,-0.04,0.04,0.06,-0.01,-0.01,0.05,0.09,0,-0.01,-0.02,0.13,-0.02,2019Q4,,,,,,,,,,,,
5301,寶得利,,,,6.03,-0.2,-3.21,,,,,,,,,,,,,,,,-0.15,0.02,0,-0.06,-1.25,0,0.04,0.04,0.05,0,-0.37,-0.11,-0.13,2019Q4,,,,,,,,,,,,
5302,太欣,,,,7.32,-0.18,-2.4,,,,,,,,,,,,,,,,0.09,0.5,0.04,0.03,0.03,0.03,0.03,0.15,0.06,0.07,0.04,0.03,0.04,2019Q4,,,,,,,,,,,,
