代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),季度,14Q1 毛利 (億),14Q2 毛利 (億),14Q3 毛利 (億),14Q4 毛利 (億),15Q1 毛利 (億),15Q2 毛利 (億),15Q3 毛利 (億),15Q4 毛利 (億),16Q1 毛利 (億),16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億)
1235,興泰,100.5,0,0,0.07,-0.01,-0.01,0.28,-0.01,-0.01,0.04,0.03,0.15,0.06,0.09,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
1236,宏亞,20.75,-0.05,-0.24,1.35,1.49,0.82,1.44,1.94,1.52,0.96,1.51,1.38,1.54,0.72,1.27,1.56,,,,,,,,,,,,,,,,,,,,,,,,,
1301,台塑,35.5,-0.3,-0.84,52.1,175,194,43,13,34.7,9.29,36.6,17.7,18.3,37.4,24.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,,
1304,台聚,10.1,-0.05,-0.49,15.7,31.3,30.3,19.6,28.2,17.5,15.1,14,9.5,5.22,11.1,3.08,3.59,,,,,,,,,,,,,,,,,,,,,,,,,
1305,華夏,11.25,0,0,2.14,7.51,2.49,-5.84,2.62,7,2.74,4.72,2.31,1.73,3.22,-2.6,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,
1308,亞聚,13,-0.2,-1.52,3.76,5.57,8.17,10.4,8.19,3.13,3.94,2.68,1.71,0.08,1,0.07,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
1309,台達化,11.4,-0.1,-0.87,2.56,6.1,5.52,3.59,2.39,1,1.23,0.83,1.29,0.32,2.07,3.42,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
1310,台苯,8.92,-0.04,-0.45,-0.91,1,-0.96,-1.97,-1.34,0.08,-3.39,0.81,-1.61,-0.21,-0.26,-1.54,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,
1312,國喬,10.7,+0.1,+0.94,1.52,5.88,3.77,-1.66,0.72,1.85,-0.46,3.32,-0.24,1.79,1.56,0.7,1.05,,,,,,,,,,,,,,,,,,,,,,,,,
1313,聯成,8.15,-0.04,-0.49,1.98,13.6,-7.54,-4.33,1.66,4.52,2.05,10.9,4.62,-5.31,1.46,-2.64,4.73,,,,,,,,,,,,,,,,,,,,,,,,,
1316,上曜,15.15,-0.7,-4.42,1.01,0.79,1.94,2.24,0.91,0.33,0.35,0.41,0.36,0.68,1.38,0.9,1.84,,,,,,,,,,,,,,,,,,,,,,,,,
1325,恆大,23.7,-0.3,-1.25,0.01,0.11,0.08,0.07,0.18,0.06,-0.02,0,-0.05,0,-0.12,-0.14,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,
1337,再生-KY,5.6,+0.06,+1.08,-0.4,-0.5,-0.65,-0.6,-0.52,-0.46,-0.46,-0.36,-0.25,-0.17,-0.31,-0.36,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1338,廣華-KY,23.95,-0.05,-0.21,3.25,4.59,3.1,4.15,3.12,3.11,2.69,3.52,3.42,2.55,2.72,3.16,2.88,,,,,,,,,,,,,,,,,,,,,,,,,
1340,勝悅-KY,7.31,-0.02,-0.27,-0.5,-0.75,-0.7,-0.56,-0.51,-0.43,-0.58,-0.62,-0.48,-0.51,-0.41,-0.22,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
1413,宏洲,11.6,+0.15,+1.31,0.13,0.75,0.97,0.25,0.11,-0.2,-0.21,-0.27,-0.1,-0.03,-0.03,0.16,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
1417,嘉裕,7.81,+0.05,+0.64,0.89,1.6,0.98,1.35,0.31,1.54,1.25,0.74,1.49,0.92,0.69,0.22,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,
1432,大魯閣,16.25,+0.1,+0.62,1.25,1.07,0.66,1.61,0.86,1.32,1.38,1.74,1.31,1.37,1.25,1.28,1.14,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1435,中福,31.5,0,0,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1438,三地開發,41.8,+2.3,+5.82,0.42,0,4.31,0,0.17,0.5,0,0.06,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1440,南紡,11.7,-0.15,-1.27,3.24,11.9,9.52,4.16,-1.47,-0.69,1.63,1.97,3.09,2.69,3.35,1.66,1.07,,,,,,,,,,,,,,,,,,,,,,,,,
1445,大宇,14.2,0,0,0.24,0.29,-0.19,0.43,0.66,0.65,0.57,0.46,0.18,0.19,0.4,0.15,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,
1460,宏遠,6.8,-0.07,-1.02,2.46,4.94,3.92,4.28,3.78,4.02,1.89,-1.05,-1.81,2.75,1.31,2.16,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
1512,瑞利,6.23,0,0,0.45,-0.02,-0.03,0.07,0.45,0.83,0.5,0.47,0.56,0.72,0.64,0.59,0.57,,,,,,,,,,,,,,,,,,,,,,,,,
1516,川飛,14.15,-0.35,-2.41,0.12,0.26,0.1,0.22,0.17,0.19,0.02,0.1,0.1,0.15,0.14,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1517,利奇,11.05,0,0,0.95,2.48,2.7,3.28,1.59,0.72,0.02,-0.1,-0.13,-0.11,0.16,0.26,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
1526,日馳,18.6,-0.05,-0.27,1,1.51,2.46,2.12,1.48,1.14,0.71,0.68,0.34,0.48,0.58,0.13,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
1528,恩德,12.15,-0.05,-0.41,2.52,2.28,3.16,2.46,3.31,2.69,2.41,2.48,2.13,1.53,2.61,2.29,2.85,,,,,,,,,,,,,,,,,,,,,,,,,
1529,樂事綠能,21.95,+0.1,+0.46,0.34,0.16,0.43,0.34,0.27,0.37,0.21,0.6,0.4,0.23,0.51,0.39,0.17,,,,,,,,,,,,,,,,,,,,,,,,,
1533,車王電,29.6,-0.25,-0.84,2.07,2.12,2.22,2.37,2.05,1.61,1.77,2.06,2.24,1.16,1.58,1.82,3.84,,,,,,,,,,,,,,,,,,,,,,,,,
1538,正峰,26,-0.55,-2.07,0.06,0.12,0.08,0.14,0.08,0.08,0.1,0.02,-0.02,0.01,0.02,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1587,吉茂,26.95,-0.35,-1.28,1.24,1.42,1.62,1.52,1.33,1.1,1.14,1.16,1.04,0.95,1.22,1.25,1.11,,,,,,,,,,,,,,,,,,,,,,,,,
1589,永冠-KY,27.85,-0.1,-0.36,2.07,1.96,3.07,3.49,4.93,4.24,4.54,2.66,0.55,-1.47,-0.51,0.28,1.17,,,,,,,,,,,,,,,,,,,,,,,,,
1626,艾美特-KY,11.85,-0.05,-0.42,4.08,2.53,7.02,2.52,2.38,3.24,8.56,2.63,3.85,2.85,7.3,2.63,3.46,,,,,,,,,,,,,,,,,,,,,,,,,
1710,東聯,12.9,-0.2,-1.53,1.15,1.78,-0.54,-1.52,-0.27,1.37,1.14,-0.02,0.88,2.26,3.33,4.06,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
1721,三晃,11.45,+0.05,+0.44,0.17,0.75,1.04,0.44,0.33,-0.03,-0.56,-0.41,0.38,-0.28,0.06,0.37,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1802,台玻,14,+0.1,+0.72,10.6,23.6,17.8,3.28,0.4,-0.69,12.6,16.1,17.7,10.5,10.3,3.45,12.5,,,,,,,,,,,,,,,,,,,,,,,,,
1903,士紙,45.5,+0.4,+0.89,0.21,0.23,0.17,0.26,0.11,0.19,0.22,0.22,0.22,0.25,0.22,0.22,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
1905,華紙,13.05,-0.2,-1.51,4.32,4.54,8.22,7.34,5.42,3.26,0.83,1.32,5.48,5.38,2.65,5.05,2.37,,,,,,,,,,,,,,,,,,,,,,,,,
1909,榮成,9.01,-0.16,-1.74,11.3,11.9,15,8.59,8.38,6.97,10.3,12.5,15.8,11.5,14.1,10.6,10.5,,,,,,,,,,,,,,,,,,,,,,,,,
2007,燁興,8.3,-0.06,-0.72,-0.88,1.15,0.79,-1.17,-1.44,-0.25,-1.7,-1.02,-1.7,-1.14,-1.52,-1.01,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
2014,中鴻,16.5,-0.2,-1.2,-1.13,6.25,10.8,-19.3,-8.95,6.23,-1.15,-1.81,1.85,1.83,-2.12,-7.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
2022,聚亨,8.1,-0.07,-0.86,2.06,2.22,1.75,1.12,1.1,2.88,2.35,2.59,4.06,2.43,1.81,0.05,2.34,,,,,,,,,,,,,,,,,,,,,,,,,
2023,燁輝,15.55,0,0,18.1,29.9,26.9,18.4,16.1,15.7,16.7,18.4,16.2,20.5,16.6,9.84,12.1,,,,,,,,,,,,,,,,,,,,,,,,,
2025,千興,13.35,-0.1,-0.74,-0.39,0.19,0.06,-0.55,-0.8,-0.09,-0.29,-0.51,-0.67,-0.46,-0.14,-0.82,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,
2034,允強,20.1,-0.2,-0.99,4.17,7.71,8.66,5.05,0.35,2.9,3.88,4.1,0.12,4.45,4.55,4.71,3.6,,,,,,,,,,,,,,,,,,,,,,,,,
2102,泰豐,16.95,-0.05,-0.29,-0.26,-0.17,0.07,0.4,-0.61,-0.59,-0.9,-0.68,-0.8,0.01,0.06,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
2104,國際中橡,10.55,-0.1,-0.94,4.7,7.49,6.54,11.8,6.88,6.18,0.66,3.9,3.92,2.96,1.58,5.08,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,
2208,台船,17.15,-0.55,-3.11,-7.14,-1.17,-8.12,-13.4,-8.27,-14.4,-3.52,-1.06,-5.11,-3.78,-4.42,-9.01,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,
2241,艾姆勒,24.2,-0.1,-0.41,-0.01,0.19,0.1,-0.38,0,-0.13,-0.07,0.06,0.08,0.11,0.04,0.06,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,
2254,巨鎧精密-創,67.4,-1.1,-1.61,0.55,0.94,1.52,0.38,0.5,0.49,0.24,0.56,0.28,0.14,0.61,0.53,0.38,,,,,,,,,,,,,,,,,,,,,,,,,
2258,鴻華先進-創,40.5,-0.9,-2.17,1.67,,0.03,0.22,0.45,0.12,0.74,0.1,0.61,1.2,6.74,4.51,3.65,,,,,,,,,,,,,,,,,,,,,,,,,
2314,台揚,12,+0.1,+0.84,0.77,1.1,1.45,1.7,2.05,2.07,1.41,0.63,0.23,0.32,0.05,-0.85,-0.91,,,,,,,,,,,,,,,,,,,,,,,,,
2321,東訊,13.65,-0.3,-2.15,0.55,0.64,0.59,0.65,0.72,0.51,0.46,0.52,0.6,0.43,0.49,0.44,0.54,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
2323,中環,7.77,-0.06,-0.77,3.97,3.67,3.57,4.38,3.03,3.5,4.07,4.43,4.6,4.11,3.94,4.04,4.27,,,,,,,,,,,,,,,,,,,,,,,,,
2331,精英,15.4,+0.2,+1.32,6.94,5.92,10.2,9.07,7.19,5.17,12,7.73,6.81,5.23,5.85,5.36,2.77,,,,,,,,,,,,,,,,,,,,,,,,,
2337,旺宏,19.15,-0.05,-0.26,26.7,56,54.6,50.7,31,17.9,21,17.6,11.1,11.4,19.4,22.4,7.77,,,,,,,,,,,,,,,,,,,,,,,,,
2338,光罩,31.15,+0.3,+0.97,4.46,4.03,6.18,5.42,5.36,4.27,4.72,5,4.38,3.3,3.8,3.58,3.54,,,,,,,,,,,,,,,,,,,,,,,,,
2340,台亞,20.75,+0.25,+1.22,2.21,3.74,3.93,2.89,1.58,1.57,2.4,3.01,2.33,1.61,1.97,1.14,0.34,,,,,,,,,,,,,,,,,,,,,,,,,
2369,菱生,13.45,-0.05,-0.37,0.66,2.85,2.18,0.32,-0.15,0.06,0.86,0.85,0.82,0.31,0.15,-0.12,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,
2380,虹光,3.89,+0.34,+9.58,1.21,1.61,1.47,2.41,1.9,0.73,1.04,1.01,1.11,1.91,1.24,-0.38,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
2390,云辰,10.25,-0.05,-0.49,0.38,0.29,0.28,0.27,0.4,0.39,0.42,0.38,0.44,0.36,0.43,0.39,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
2406,國碩,11,0,0,0.85,1.76,2.53,1.79,0.55,-0.23,-0.26,0.37,-0.04,1.17,1.67,1.05,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,
2408,南亞科,32.1,-0.65,-1.98,13.7,87.5,79.6,36,10.4,-5.54,-7.88,-19.5,-11.9,-2.77,2.87,2.64,-6.95,,,,,,,,,,,,,,,,,,,,,,,,,
2409,友達,12.3,-0.1,-0.81,25.3,117,17.2,-72.6,-45.9,-48.6,19.9,53.4,21.3,19.6,83.5,84.5,54.5,,,,,,,,,,,,,,,,,,,,,,,,,
2413,環科,18.25,0,0,1.6,1.13,2.19,2.32,2.75,1.56,1.69,2.06,1.54,1.11,0.61,0.74,1.47,,,,,,,,,,,,,,,,,,,,,,,,,
2424,隴華,59.8,0,0,-0.14,-0.18,-0.26,-0.22,-0.09,-0.14,-0.14,-0.22,-0.12,-0.21,-0.25,-0.18,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
2429,銘旺科,44.2,-0.55,-1.23,0.07,0.23,0.13,0.14,0.08,0.07,0.16,0.09,-0.08,-0.01,0,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
2431,聯昌,11.05,-0.15,-1.34,0.02,0.16,0.18,0.15,0.06,-0.01,-0.05,0.03,-0.21,-0.04,-0.01,-0.04,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,
2438,翔耀,29.5,+0.5,+1.72,0.06,0.17,0.11,-0.03,-0.04,0,0.02,-0.07,-0.1,-0.04,0.08,0.11,0.51,,,,,,,,,,,,,,,,,,,,,,,,,
2440,太空梭,15.8,+0.65,+4.29,0.34,0.48,0.38,0.49,0.52,0.16,0.13,0.13,0.27,0.27,0.38,0.36,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
2444,兆勁,12.1,-0.15,-1.22,0.57,0.73,0.49,0.8,1.17,0.5,0.2,0.54,0.69,0.4,0.25,0.5,0.55,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
2460,建通,16.45,-0.35,-2.08,0.3,0.92,0.41,-0.42,0.11,0.22,0.04,0.14,0.36,0.16,1.12,0.58,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
2465,麗臺,47.6,0,0,1.34,1.86,0.82,2.53,0.86,0.71,0.91,1.44,3.21,0.95,0.64,0.71,1.38,,,,,,,,,,,,,,,,,,,,,,,,,
2466,冠西電,108.5,+4,+3.83,0.53,0.73,1.22,0.98,0.45,0.48,0.61,0.72,-0.24,0.01,0.52,0.71,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
2485,兆赫,11.5,-0.05,-0.43,0.65,-0.02,1.14,1.47,2.37,0.71,1.32,2.2,1.57,0.1,0.01,-1.6,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,
2491,吉祥全,11.1,+0.05,+0.45,-0.21,-1.12,-2.53,-1.13,0.94,0.03,0.11,0.16,0.21,0.11,0.13,0.12,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
2498,宏達電,36.9,-0.15,-0.4,4.01,4.17,3.95,4.25,4.92,3.98,4.73,4.55,4.98,2.46,3.15,3.16,3.77,,,,,,,,,,,,,,,,,,,,,,,,,
2547,日勝生,12.65,+0.25,+2.02,7.46,6.67,7.11,6.83,8.49,6.41,6.9,7.47,9.46,6.38,6.51,6.91,10.4,,,,,,,,,,,,,,,,,,,,,,,,,
2601,益航,6.48,-0.09,-1.37,9.18,12.4,10.3,10.4,10.1,10.3,8.6,8.03,9.11,8.41,7.69,7.08,7.74,,,,,,,,,,,,,,,,,,,,,,,,,
2616,山隆,16.15,-0.45,-2.71,2.84,4.06,3.97,3.25,2.93,3.28,2.87,3.21,2.83,2.83,2.59,1.22,1.03,,,,,,,,,,,,,,,,,,,,,,,,,
2642,宅配通,28,-0.4,-1.41,1.34,1.62,1.88,1.61,1.62,1.17,1.4,1.53,1.45,1.31,0.99,0.89,0.65,,,,,,,,,,,,,,,,,,,,,,,,,
2712,遠雄來,18.4,0,0,0.27,0.28,-0.12,0.92,0.48,0.5,0.38,0.79,0.31,0.23,-0.47,-0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
2722,夏都,27.5,-0.5,-1.79,0.84,0.74,0.7,2.04,0.87,0.79,0.95,1.27,0.46,0.48,0.68,0.86,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
2911,麗嬰房,5.08,-0.07,-1.36,3.13,4.08,2.61,3.3,3.76,3.36,2.7,2.86,3.47,3.17,2.71,2.15,3.44,,,,,,,,,,,,,,,,,,,,,,,,,
2913,農林,15.45,+0.05,+0.32,0.39,0.42,0.38,0.47,0.38,0.28,0.35,0.39,0.36,0.34,0.35,0.42,0.51,,,,,,,,,,,,,,,,,,,,,,,,,
2939,永邑-KY,28.85,+1.7,+6.26,0.27,0.48,0.4,0.17,0.86,0.24,0.23,0.23,0.24,0.15,0.13,-0.05,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
3011,今皓,12.6,-0.15,-1.18,0.35,0.49,0.43,0.5,0.49,0.3,0.49,0.52,0.13,0.44,0.14,0.18,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
3018,隆銘綠能,21.85,+0.4,+1.86,-0.02,0.5,0.35,-2.04,0.04,0.37,-0.37,0,0.24,-0.02,0.22,0.8,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,
3041,揚智,23.55,-0.15,-0.63,1.5,2.77,3,2.61,1.98,1.03,0.72,0.34,0.96,0.97,1.53,1,1.08,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
3048,益登,23.8,0,0,9.07,9.54,10.1,10.3,9.71,8.22,7.25,8.69,9.07,8.07,8.31,9.49,10.1,,,,,,,,,,,,,,,,,,,,,,,,,
3049,精金,6.88,-0.08,-1.15,-1.13,1.3,0.74,-0.47,-0.24,-1.49,-1.22,-2.54,-2.94,-2.3,-2.02,-1.71,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,
3054,立萬利,22.8,+0.8,+3.64,0.04,0.03,0.03,0.03,0.02,0.03,0.06,0.03,0.03,0.08,0.03,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
3055,蔚華科,48.05,-0.35,-0.72,0.46,0.64,0.62,0.47,-0.01,0.25,0.73,0.69,0.71,0.47,0.46,0.3,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
3057,喬鼎,8.18,-0.09,-1.09,0.6,0.9,0.98,0.75,0.59,0.61,0.49,0.54,0.39,0.56,0.44,0.45,0.53,,,,,,,,,,,,,,,,,,,,,,,,,
3058,立德,10.25,-0.15,-1.44,1.25,0.72,1.09,1.58,1.62,1.22,1.34,1.46,1.46,1.13,1.49,0.96,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
3092,鴻碩,19.25,-0.5,-2.53,0.94,1.41,1.83,1.67,0.88,0.5,0.93,1,0.71,0.5,0.44,0.72,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
3149,正達,29.8,-0.35,-1.16,-0.03,-0.16,-0.52,-0.49,-0.05,0.05,0.21,0.13,0.23,0.2,0.4,0.23,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,
3321,同泰,7.08,+0.36,+5.36,0.03,0.45,0.64,-0.48,-0.58,-0.31,0.15,0.14,-0.1,0.14,0.26,-0.1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
3419,譁裕,14.55,+0.15,+1.04,0.71,0.45,0.82,1.22,1.31,0.63,0.56,0.48,0.54,0.52,0.79,0.66,0.58,,,,,,,,,,,,,,,,,,,,,,,,,
3432,台端,13.8,+0.65,+4.94,0.01,0.01,0.01,0.02,0,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
3437,榮創,15.15,-0.15,-0.98,0.88,1.71,0.68,-0.02,0.69,0.53,1.09,1.36,0.85,0.85,1.06,1.09,0.63,,,,,,,,,,,,,,,,,,,,,,,,,
3494,誠研,14.55,0,0,0.14,-0.13,-0.03,0.5,-0.46,0.35,0.11,0.16,-0.22,0.13,0.49,0.45,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
3504,揚明光,44.35,+0.35,+0.8,1.19,2.2,2.53,2.34,1.03,0.67,0.89,0.7,0.9,0.31,0.56,1.06,1.08,,,,,,,,,,,,,,,,,,,,,,,,,
3518,柏騰,17.75,0,0,0.23,0.58,0.36,0.12,0.08,0.28,0.29,0.27,0.24,0.19,0.18,0.12,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
3530,晶相光,55.4,-0.7,-1.25,0.48,2.1,1.82,0.72,0.31,-1.28,0.22,0.62,0.01,0.21,0.43,2,-1.39,,,,,,,,,,,,,,,,,,,,,,,,,
3543,州巧,17.4,+0.3,+1.75,1.16,0.64,0.73,1.09,1.24,1.17,1.5,1.75,1.31,1.12,1.14,0.96,1.22,,,,,,,,,,,,,,,,,,,,,,,,,
3550,聯穎,12.6,-0.05,-0.4,1.17,1.63,1.82,1.23,1.5,1.28,1.31,0.85,0.2,1.02,1.42,0.72,1.06,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
