代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),季度,14Q1 毛利 (億),14Q2 毛利 (億),14Q3 毛利 (億),14Q4 毛利 (億),15Q1 毛利 (億),15Q2 毛利 (億),15Q3 毛利 (億),15Q4 毛利 (億),16Q1 毛利 (億),16Q2 毛利 (億),16Q3 毛利 (億),16Q4 毛利 (億)
3576,聯合再生,8.2,+0.1,+1.23,0.84,7.52,4.06,4.73,5.11,3.54,0.19,-8.7,-12.7,-0.68,0.72,0.19,6.15,,,,,,,,,,,,,,,,,,,,,,,,,
3593,力銘,9.85,-0.15,-1.5,0.06,-0.07,-0.06,0.26,0.32,0.11,0.07,0.28,0.28,-0.01,-0.03,-0.3,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,
3686,達能,14.1,-0.4,-2.76,0,-0.02,0,-0.01,0.02,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
3714,富采,35.15,+0.2,+0.57,7.89,18.6,17.7,8.78,4.68,-0.99,2.79,5.36,4.52,6.84,10.1,11,5.16,,,,,,,,,,,,,,,,,,,,,,,,,
4108,懷特,13.15,0,0,0.16,0.17,0.13,0.13,0.14,0.13,0.16,0.19,0.19,0.09,0.21,0.16,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
4142,國光生,18.55,-0.15,-0.8,1.46,-1.14,2.11,5.56,2.39,-0.6,-0.95,4.85,0.81,-0.7,-0.35,4.4,1.13,,,,,,,,,,,,,,,,,,,,,,,,,
4190,佐登-KY,34.5,+0.4,+1.17,4.42,4.52,4.44,4.44,5.51,5.35,5.73,4.47,4.58,3.5,3.55,3.48,3.49,,,,,,,,,,,,,,,,,,,,,,,,,
4426,利勤,11.2,-0.2,-1.75,0.27,-0.53,0.11,0.47,1.2,0.91,0.27,0.68,0.46,0.23,-0.15,-0.24,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,
4526,東台,21.5,-1,-4.44,3.23,3.24,4.95,5.05,4.99,3.92,4.29,4.2,3.13,2.01,1.97,1.48,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,
4540,全球傳動,36.6,-0.05,-0.14,1.03,2.48,2.52,2.43,1.95,1.73,1.5,1.24,-0.29,-1.25,0.05,-0.1,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
4555,氣立,34.75,+0.35,+1.02,1.15,1.63,1.7,1.61,1.25,1.07,1.09,0.77,0.79,0.87,1.04,0.89,1.09,,,,,,,,,,,,,,,,,,,,,,,,,
4562,穎漢,40.9,+0.55,+1.36,0.64,0.49,0.42,0.67,0.78,0.72,0.5,0.73,0.58,0.48,0.69,0.76,0.84,,,,,,,,,,,,,,,,,,,,,,,,,
4564,元翎,19.4,+0.65,+3.47,-0.04,1.33,0.49,0.26,0.35,-0.2,-0.23,-0.22,-0.36,-0.68,-0.65,-0.45,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,
4737,華廣,55,+5,+10,2.07,2.08,2.53,2.39,3.04,1.73,1.71,1.6,2.11,2.02,2.05,1.78,1.83,,,,,,,,,,,,,,,,,,,,,,,,,
4764,雙鍵,39,-0.2,-0.51,0.87,1.26,1.03,0.81,1.04,0.6,0.53,0.79,0.64,0.57,0.99,0.74,1.38,,,,,,,,,,,,,,,,,,,,,,,,,
4807,日成-KY,17.7,+1.6,+9.94,0.5,0.55,0.41,1.5,0.76,-0.25,-0.2,0.36,0.52,0.35,0.42,0.72,0.83,,,,,,,,,,,,,,,,,,,,,,,,,
4927,泰鼎-KY,22.5,-0.65,-2.81,3.47,8.55,8.96,5.38,5.4,3.9,2.7,2.69,0.99,1.89,1.16,0.13,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,
4934,太極,9.9,0,0,0.23,-0.25,0.4,0.75,0.7,0.91,1.02,1.47,-0.88,-0.52,-0.02,-0.34,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
4943,康控-KY,12,0,0,-0.59,-1.19,-1.59,-1.06,-2.38,-0.2,-0.43,0.24,0.11,-0.11,-0.21,-0.25,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
4949,有成精密,38.5,-0.8,-2.04,2.92,,7.13,4.4,4.24,3.18,3.2,1.98,1.87,0.93,1.14,1.8,2.21,,,,,,,,,,,,,,,,,,,,,,,,,
4956,光鋐,21.35,+0.75,+3.64,0.23,0.73,0.45,0.17,-0.27,0.14,0.1,0.03,-0.09,0.1,0.54,0.51,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
4960,誠美材,12.25,-0.15,-1.21,1.32,2.74,3.44,0.89,0.7,-0.13,1.35,1.52,0.91,1.12,1.26,1.63,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
4976,佳凌,25.8,+0.3,+1.18,-0.16,-0.12,-0.06,0.05,-0.67,-0.11,-0.37,-0.3,-0.51,0.03,0.22,0.3,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,
4989,榮科,14.6,-0.05,-0.34,-0.01,1.76,1.04,-0.26,0.31,0.42,-0.25,-0.33,-0.25,-0.27,0.07,-1.09,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,
5484,慧友,37.55,0,0,0.26,0.16,0.18,0.27,0.35,0.28,0.1,0.21,0.2,0.28,0.41,0.31,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
5531,鄉林,9.71,-0.11,-1.12,2.14,0.08,0.86,1.45,1.16,6.08,1.21,1.92,0.75,0.17,0.47,4.7,6.88,,,,,,,,,,,,,,,,,,,,,,,,,
5546,永固-KY,28,+0.15,+0.54,1,1.46,1.29,0.9,0.85,0.49,0.89,1,1.12,0.88,1.17,0.78,1.12,,,,,,,,,,,,,,,,,,,,,,,,,
5608,四維航,16.3,-0.1,-0.61,3.02,7.86,10.6,9.63,3.63,-0.38,0.63,0.43,0.69,-0.1,0.67,1.35,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
5907,大洋-KY,8.64,-0.34,-3.79,7.77,10,8.17,8.08,7.64,8.57,7.49,7.21,8.52,7.59,6.65,6.18,7.08,,,,,,,,,,,,,,,,,,,,,,,,,
6112,邁達特,43.5,-0.55,-1.25,6.16,3.83,4.23,4.73,9.46,6.63,6.72,7.96,6.49,6.2,5.13,6.59,5.92,,,,,,,,,,,,,,,,,,,,,,,,,
6116,彩晶,6.98,0,0,-4.78,7.48,4.84,-1.18,-7.11,-4.54,-5.01,-6.18,-9.71,-6.34,-12.3,-8.54,-8.78,,,,,,,,,,,,,,,,,,,,,,,,,
6141,柏承,9.4,-0.05,-0.53,-0.02,1.35,1.83,1.19,-0.11,-0.46,0.11,0.02,-1.03,-1.8,-0.83,-0.32,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
6142,友勁,8.62,+0.04,+0.47,0.4,0.15,0.3,0.99,1.47,1.16,0.69,0.09,-0.21,-0.18,-0.14,0.18,0.34,,,,,,,,,,,,,,,,,,,,,,,,,
6152,百一,9.01,-0.06,-0.66,1.15,0.78,1.23,1.91,2,0.89,1.17,0.92,1.11,0.33,1.7,1.11,0.61,,,,,,,,,,,,,,,,,,,,,,,,,
6153,嘉聯益,11.4,+0.25,+2.24,-0.07,1.86,0.52,10.8,4.11,-5.2,-2.76,-0.8,-0.68,-3.31,-1.26,-1.59,-2.56,,,,,,,,,,,,,,,,,,,,,,,,,
6168,宏齊,15.9,0,0,1.49,2,2.18,1.64,1.69,1.31,1.26,1.32,1.47,1.26,1.09,1.48,1.14,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
6202,盛群,38.75,+0.2,+0.52,4.47,9.87,8.8,6.61,5.16,3.97,3.89,3.27,1.96,1.98,2.81,2.58,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
6209,今國光,23.5,-0.45,-1.88,0.59,0.84,0.7,0.66,0.95,0.63,0.95,0.41,-0.04,0.43,0.53,0.51,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
6225,天瀚,12.35,-0.55,-4.26,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
6226,光鼎,7.28,+0.05,+0.69,0.49,0.66,0.71,0.52,0.57,0.43,0.42,0.56,0.41,0.32,0.39,0.41,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
6269,台郡,49.8,-0.6,-1.19,11,15.1,8.12,27.1,17.9,7.78,12.8,14.4,13.6,6.01,6.18,3.34,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,
6282,康舒,26.05,-0.2,-0.76,14.7,9.13,11.4,10.5,11.2,9.11,9.04,21.7,20.3,16.9,19.3,19.2,18.4,,,,,,,,,,,,,,,,,,,,,,,,,
6405,悅城,21.6,-0.55,-2.48,0.03,0.35,0.14,-0.08,0.05,0.04,0.01,-0.08,-0.02,-0.02,-0.01,-0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
6426,統新,59.1,0,0,0.25,0.67,0.75,0.65,0.49,0.06,-0.09,0.13,0.27,-0.01,-0.05,-0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
6431,光麗-KY,18.75,+0.45,+2.46,0.17,0.07,0.11,0.22,0.28,0.12,0.32,0.07,0.16,0.07,0.17,0.2,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
6443,元晶,14.15,0,0,1.9,1.42,1.25,1.23,2.9,2.09,2.48,4.16,4.07,1.34,1.2,1.07,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,
6477,安集,27.9,-0.2,-0.71,0.93,0.63,0.75,1.58,1.78,1.17,1.5,1.03,0.63,0,0.74,0.84,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
6541,泰福-KY,63.5,+0.7,+1.11,0.04,-0.18,0.01,0.01,-0.03,0.41,0.11,0.04,0.04,0.01,0,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
6550,北極星藥業-KY,40.25,+3.65,+9.97,-0.07,0.01,0,0,0,0,0,0,-0.03,-0.06,-0.04,-0.34,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,
6573,虹揚-KY,11.25,-0.3,-2.6,0.08,0.14,-0.01,0.34,-0.24,0.18,0.13,0.11,0.01,0.07,0.12,0.07,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
6598,ABC-KY,18.85,-0.15,-0.79,0.59,0.23,0.72,0.66,0.73,0.53,0.41,0.71,1.03,0.52,0.61,0.45,0.46,,,,,,,,,,,,,,,,,,,,,,,,,
6645,金萬林-創,21.85,+0.35,+1.63,0.35,,2.13,0.43,-0.02,0.32,0.1,0.2,0.16,0.08,0.11,0.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
6657,華安,59.5,0,0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
6668,中揚光,33.95,+0.25,+0.74,0.19,-0.27,0.45,0.37,0.12,-0.02,-0.18,0.23,0.31,0.31,0.11,0.58,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
6674,鋐寶科技,16.95,+0.1,+0.59,0.52,1.32,1.04,0.84,0.5,0.36,-0.01,0.39,0.09,0.42,0.34,0.38,0.53,,,,,,,,,,,,,,,,,,,,,,,,,
6695,芯鼎,41.6,-0.05,-0.12,1.14,1.18,1.53,1.14,1.03,1.03,1.15,1.26,1.11,0.89,0.87,1.18,1.36,,,,,,,,,,,,,,,,,,,,,,,,,
6698,旭暉應材,27.2,+0.45,+1.68,0.64,0.75,0.92,0.53,1,0.39,0.65,0.36,0.68,0.46,0.44,0.52,1.01,,,,,,,,,,,,,,,,,,,,,,,,,
6706,惠特,66.5,-0.2,-0.3,1.44,6.57,5.11,2.53,1.21,0.7,0.13,0.04,0.14,0.28,-0.09,0.31,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
6770,力積電,14.1,0,0,34.5,105,112,88.9,50,21.4,18.5,9.56,3.41,16.7,5.86,-4.89,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,
6794,向榮生技-創,64.8,+1.5,+2.37,0.05,,0.05,,0.08,0.03,0.07,0.03,0.06,0.01,0.03,0.09,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
6838,台新藥,24.3,+0.15,+0.62,0.13,,0,0,0,0,0.27,0.01,0,1.12,0.04,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
6885,全福生技,23.3,-0.2,-0.85,0,,,,0.01,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
6901,鑽石投資,22.65,+0.6,+2.72,-3.04,29.7,-22.4,13.2,-10.3,0.07,-14.1,-12.6,2.14,-7.74,-0.91,-7.57,-6.08,,,,,,,,,,,,,,,,,,,,,,,,,
6902,GOGOLOOK-創,98,-1.5,-1.51,1.54,0.77,0.83,0.86,1.12,1.67,1.74,1.68,1.97,1.9,1.78,1.9,2.23,,,,,,,,,,,,,,,,,,,,,,,,,
6919,康霈*,616,+4,+0.65,0.07,,0,,0.1,0.02,0.08,0.07,0.11,0.03,0.05,0.16,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
6928,攸泰科技,44.3,-1.1,-2.42,1.7,,3.14,1.26,1.72,1.23,1.67,3.03,2.02,1.4,1.23,0.81,1.21,,,,,,,,,,,,,,,,,,,,,,,,,
6949,沛爾生醫-創,125.5,+0.5,+0.4,-0.06,,,,-0.11,-0.02,-0.1,-0.11,-0.04,-0.03,-0.03,-0.03,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
6969,成信實業*-創,26.75,-0.75,-2.73,0.22,,,,0.7,,,0.1,0.02,,,0.05,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
8101,華冠,16.1,0,0,0.05,0.05,0.12,-0.05,-0.02,-0.07,-0.11,0.03,0.16,0.06,-0.1,-0.09,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
8110,華東,11.8,-0.05,-0.42,1.23,1.73,2.15,2.74,1.79,0.3,-0.15,-0.44,1.61,1.77,0.96,0.8,1.45,,,,,,,,,,,,,,,,,,,,,,,,,
8201,無敵,11.85,+0.1,+0.85,0.21,0.21,0.25,0.25,0.17,0.19,0.2,0.2,0.19,0.18,0.24,0.22,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
8411,福貞-KY,12.35,+0.55,+4.66,1.97,2.1,1.42,1.58,2.12,1.05,1.98,2.73,2.66,1.89,1.38,2.35,2.43,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),22Q1 毛利 (億),22Q2 毛利 (億),22Q3 毛利 (億),22Q4 毛利 (億),23Q1 毛利 (億),23Q2 毛利 (億),23Q3 毛利 (億),23Q4 毛利 (億),24Q1 毛利 (億),24Q2 毛利 (億),24Q3 毛利 (億),24Q4 毛利 (億),,,,,,,,,,,,,,,,,,,,,,,,,
8429,金麗-KY,8.56,0,0,-0.02,-0.13,-0.24,-0.11,-0.03,-0.01,0,0.12,-0.02,0.02,0.07,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
8443,阿瘦,11.6,+0.05,+0.43,1.57,1.72,1.06,1.43,1.57,1.64,1.76,1.76,1.74,1.85,1.33,1.38,1.66,,,,,,,,,,,,,,,,,,,,,,,,,
8488,吉源-KY,11.85,+0.3,+2.6,0.46,0.44,0.02,0.34,0.76,0.38,0.52,0.77,0.68,0.38,0.23,0.48,0.55,,,,,,,,,,,,,,,,,,,,,,,,,
9912,偉聯,11.7,+0.05,+0.43,0.49,0.49,0.5,0.51,0.39,0.5,0.52,0.54,0.45,0.51,0.5,0.51,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
9914,美利達,131.5,-1,-0.75,13.9,11.6,13.5,14.7,17.1,15.9,15.4,13.2,11.8,11.1,18.1,16.5,7.73,,,,,,,,,,,,,,,,,,,,,,,,,
9919,康那香,15.55,-0.45,-2.81,0.63,1.25,0.46,0.98,0.41,0.51,0.41,0.64,-0.29,0.9,0.79,0.76,0.81,,,,,,,,,,,,,,,,,,,,,,,,,
9928,中視,15.6,0,0,0.29,0.19,0.22,0.2,0.57,0.16,0.18,0.2,0.66,0.42,0.31,0.16,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
9929,秋雨,13.75,+0.4,+3,0.19,0.18,0.18,0.21,0.38,0.09,0.12,0.26,0.23,0.12,0.17,0.18,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
9955,佳龍,29.15,+2.65,+10,0.04,0.07,0,-0.06,0.01,0,0.26,0.07,0.07,-0.02,0.04,0.21,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,
1235,興泰,100.5,0,0,0.05,,,,,,,,,,,,,-0.06,-0.01,0.24,-0.13,-0.01,0.01,0.27,0,0,0.01,0.25,0.03,2019Q4,,,,,,,,,,,,
1236,宏亞,20.75,-0.05,-0.24,1.28,,,,,,,,,,,,,0.97,0.64,1.41,2,1.61,0.58,1.19,1.88,1.24,0.62,1.39,1.78,2019Q4,,,,,,,,,,,,
1301,台塑,35.5,-0.3,-0.84,85.7,,,,,,,,,,,,,80.6,83.3,86.3,84.6,93.5,115,84.4,80,81.5,106,77.5,55.9,2019Q4,,,,,,,,,,,,
1304,台聚,10.1,-0.05,-0.49,16.4,,,,,,,,,,,,,20,15.6,17.5,18.2,18.5,18.7,12.1,8.66,15.6,15.8,16.5,19.4,2019Q4,,,,,,,,,,,,
1305,華夏,11.25,0,0,6.21,,,,,,,,,,,,,8.53,6.02,5.71,7.51,9.7,8,5.35,3.97,4.49,3.56,5.24,6.42,2019Q4,,,,,,,,,,,,
1308,亞聚,13,-0.2,-1.52,1.68,,,,,,,,,,,,,2.31,1.67,1.45,1.54,0.78,0.64,0.41,1.02,1.77,2.47,2.45,3.67,2019Q4,,,,,,,,,,,,
1309,台達化,11.4,-0.1,-0.87,3.1,,,,,,,,,,,,,3.34,0.99,5.16,4.85,3.75,4.68,2.05,-0.04,3.93,3.37,1.98,3.17,2019Q4,,,,,,,,,,,,
1310,台苯,8.92,-0.04,-0.45,4.22,,,,,,,,,,,,,5.93,2.05,5.38,3.54,5.46,6.22,6.71,1.38,4.48,4.77,4.21,0.45,2019Q4,,,,,,,,,,,,
1312,國喬,10.7,+0.1,+0.94,8.74,,,,,,,,,,,,,9.58,5.75,11.6,11,11.2,10.5,12.7,6.07,6.91,9.19,6.27,4.01,2019Q4,,,,,,,,,,,,
1313,聯成,8.15,-0.04,-0.49,7.87,,,,,,,,,,,,,8.67,6.17,12.8,11,10.2,10.2,7.28,6.35,3.65,2.74,8.85,6.6,2019Q4,,,,,,,,,,,,
1316,上曜,15.15,-0.7,-4.42,1,,,,,,,,,,,,,0.23,0.23,0.88,4.99,2.49,1.48,0.39,0.1,0.11,0.14,0.14,0.85,2019Q4,,,,,,,,,,,,
1325,恆大,23.7,-0.3,-1.25,0.25,,,,,,,,,,,,,0.36,0.24,0.25,0.32,0.26,0.25,0.24,0.26,0.22,0.23,0.14,0.25,2019Q4,,,,,,,,,,,,
1337,再生-KY,5.6,+0.06,+1.08,-0.29,,,,,,,,,,,,,1.62,2.15,1.99,1.15,-0.43,-0.42,-0.47,-6.45,-0.95,-0.92,-0.61,-0.2,2019Q4,,,,,,,,,,,,
1338,廣華-KY,23.95,-0.05,-0.21,4.99,,,,,,,,,,,,,5,4.92,5.32,5.81,5.02,4.86,4.59,5.28,4.36,4.72,4.72,5.27,2019Q4,,,,,,,,,,,,
1340,勝悅-KY,7.31,-0.02,-0.27,1.09,,,,,,,,,,,,,1.41,3.41,3.77,3.12,1.4,1.43,0.74,-0.07,-0.18,-0.43,-0.72,-0.81,2019Q4,,,,,,,,,,,,
1413,宏洲,11.6,+0.15,+1.31,0.52,,,,,,,,,,,,,0.13,0.48,0.57,0.72,0.76,0.77,0.66,0.65,0.54,0.59,0.27,0.06,2019Q4,,,,,,,,,,,,
1417,嘉裕,7.81,+0.05,+0.64,0.72,,,,,,,,,,,,,0.9,0.84,0.46,0.65,0.62,0.56,0.46,0.83,0.83,0.9,0.89,0.67,2019Q4,,,,,,,,,,,,
1432,大魯閣,16.25,+0.1,+0.62,2.32,,,,,,,,,,,,,2.74,2.68,2.86,2.25,1.57,1.71,2.3,1.76,2.56,2.48,2.65,2.31,2019Q4,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 毛利 (億),,,,,,,,,,,,,17Q1 毛利 (億),17Q2 毛利 (億),17Q3 毛利 (億),17Q4 毛利 (億),18Q1 毛利 (億),18Q2 毛利 (億),18Q3 毛利 (億),18Q4 毛利 (億),19Q1 毛利 (億),19Q2 毛利 (億),19Q3 毛利 (億),19Q4 毛利 (億),2019Q4,,,,,,,,,,,,
1435,中福,31.5,0,0,0.07,,,,,,,,,,,,,0.08,0.08,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.05,2019Q4,,,,,,,,,,,,
1438,三地開發,41.8,+2.3,+5.82,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2019Q4,,,,,,,,,,,,
1440,南紡,11.7,-0.15,-1.27,5.26,,,,,,,,,,,,,6.6,6.18,5.31,5,7.1,8.9,8.04,3.31,3.5,4.08,1.44,3.73,2019Q4,,,,,,,,,,,,
1445,大宇,14.2,0,0,0.21,,,,,,,,,,,,,0.34,0.29,0.19,0.17,0.12,0.26,0.22,0.22,0.26,0.2,0.05,0.2,2019Q4,,,,,,,,,,,,
1460,宏遠,6.8,-0.07,-1.02,4.01,,,,,,,,,,,,,4.62,3.68,4.02,5.03,4.34,3.74,3.96,4.85,4.06,4.17,2.82,2.81,2019Q4,,,,,,,,,,,,
1512,瑞利,6.23,0,0,0.24,,,,,,,,,,,,,0.32,0.09,-0.31,0.15,0.53,0.82,0.31,0.22,0.13,0.68,0.07,-0.1,2019Q4,,,,,,,,,,,,
1516,川飛,14.15,-0.35,-2.41,0.06,,,,,,,,,,,,,0.08,0.02,0.04,0.07,0.06,0.1,0.09,0.05,0.02,0.08,0.06,0.08,2019Q4,,,,,,,,,,,,
1517,利奇,11.05,0,0,0.83,,,,,,,,,,,,,1.06,1.04,1.14,0.68,0.47,0.7,0.89,0.67,0.95,0.71,0.74,0.89,2019Q4,,,,,,,,,,,,
1526,日馳,18.6,-0.05,-0.27,0.8,,,,,,,,,,,,,0.64,0.9,1.15,0.97,0.76,0.82,0.84,0.85,0.55,0.81,0.63,0.74,2019Q4,,,,,,,,,,,,
1528,恩德,12.15,-0.05,-0.41,3.04,,,,,,,,,,,,,2.62,3.09,4.16,3.5,3.21,3.82,3.52,2.37,2.55,2.55,2.64,2.46,2019Q4,,,,,,,,,,,,
1529,樂事綠能,21.95,+0.1,+0.46,0.19,,,,,,,,,,,,,0.06,0.15,0.09,0.43,0.13,0.21,0.11,0.32,0.08,0.11,0.17,0.43,2019Q4,,,,,,,,,,,,
1533,車王電,29.6,-0.25,-0.84,2.35,,,,,,,,,,,,,2.01,2.4,2.43,2.58,2.47,1.93,2.13,2.9,2.26,2.61,2.24,2.28,2019Q4,,,,,,,,,,,,
1538,正峰,26,-0.55,-2.07,0.18,,,,,,,,,,,,,0.33,0.32,0.2,0.24,0.16,0.13,0.14,0.15,0.07,0.15,0.11,0.13,2019Q4,,,,,,,,,,,,
1587,吉茂,26.95,-0.35,-1.28,0.8,,,,,,,,,,,,,0.74,0.77,0.76,0.61,0.46,0.74,0.94,1.13,0.78,0.9,0.86,0.88,2019Q4,,,,,,,,,,,,
1589,永冠-KY,27.85,-0.1,-0.36,3.03,,,,,,,,,,,,,3.86,4.33,3.84,2.29,1.47,2.01,2.16,2.66,2.18,3.04,3.9,4.59,2019Q4,,,,,,,,,,,,
